1 ; Apothecary Initiate ; Creature - Kithkin Cleric 1/1 ; W ; Common ; Kev Walker ;  Shadowmoor
233 ; Oracle of Nectars ; Creature - Elf Cleric 2/2 ; 2{G/W} ; Rare ; Brandon Kitkouski ;  Shadowmoor
234 ; Oversoul of Dusk ; Creature - Spirit Avatar 5/5 ; {G/W}{G/W}{G/W}{G/W}{G/W} ; Rare ; Scott M. Fischer ;  Shadowmoor
235 ; Raven's Run Dragoon ; Creature - Elf Knight 3/3 ; 2{G/W}{G/W} ; Common ; Daren Bader ;  Shadowmoor
236 ; Reknit ; Instant ; 1{G/W} ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Shadowmoor
237 ; Rhys the Redeemed ; Legendary Creature - Elf Warrior 1/1 ; {G/W} ; Rare ; Steve Prescott ;  Shadowmoor
238 ; Safehold Duo ; Creature - Elf Warrior Shaman 2/4 ; 3{G/W} ; Common ; Izzy ;  Shadowmoor
239 ; Safehold Elite ; Creature - Elf Scout 2/2 ; 1{G/W} ; Common ; Richard Whitters ;  Shadowmoor
240 ; Safewright Quest ; Sorcery ; {G/W} ; Common ; Dan Scott ;  Shadowmoor
241 ; Seedcradle Witch ; Creature - Elf Shaman 1/1 ; {G/W} ; Uncommon ; Steven Belledin ;  Shadowmoor
242 ; Shield of the Oversoul ; Enchantment - Aura ; 2{G/W} ; Common ; Steven Belledin ;  Shadowmoor
243 ; Wheel of Sun and Moon ; Enchantment - Aura ; {G/W}{G/W} ; Rare ; Zoltan Boros & Gabor Szikszai ;  Shadowmoor
244 ; Wilt-Leaf Cavaliers ; Creature - Elf Knight 3/4 ; {G/W}{G/W}{G/W} ; Uncommon ; Steve Prescott ;  Shadowmoor
245 ; Wilt-Leaf Liege ; Creature - Elf Knight 4/4 ; 1{G/W}{G/W}{G/W} ; Rare ; Jason Chan ;  Shadowmoor
246 ; Blazethorn Scarecrow ; Artifact Creature - Scarecrow 3/3 ; 5 ; Common ; Dave Kendall ;  Shadowmoor
247 ; Blight Sickle ; Artifact - Equipment ; 2 ; Common ; John Avon ;  Shadowmoor
248 ; Cauldron of Souls ; Artifact ; 5 ; Rare ; Ron Brown ;  Shadowmoor
249 ; Chainbreaker ; Artifact Creature - Scarecrow 3/3 ; 2 ; Common ; Jeff Miracola ;  Shadowmoor
250 ; Elsewhere Flask ; Artifact ; 2 ; Common ; Carl Frank ;  Shadowmoor
251 ; Gnarled Effigy ; Artifact ; 4 ; Uncommon ; Ron Brown ;  Shadowmoor
252 ; Grim Poppet ; Artifact Creature - Scarecrow 4/4 ; 7 ; Rare ; Kev Walker ;  Shadowmoor
253 ; Heap Doll ; Artifact Creature - Scarecrow 1/1 ; 1 ; Uncommon ; John Avon ;  Shadowmoor
254 ; Illuminated Folio ; Artifact ; 5 ; Uncommon ; Jim Pavelec ;  Shadowmoor
255 ; Lockjaw Snapper ; Artifact Creature - Scarecrow 2/2 ; 4 ; Uncommon ; Daren Bader ;  Shadowmoor
256 ; Lurebound Scarecrow ; Artifact Creature - Scarecrow 4/4 ; 3 ; Uncommon ; Nils Hamm ;  Shadowmoor
257 ; Painter's Servant ; Artifact Creature - Scarecrow 1/3 ; 2 ; Rare ; Mike Dringenberg ;  Shadowmoor
258 ; Pili-Pala ; Artifact Creature - Scarecrow 1/1 ; 2 ; Common ; Ron Spencer ;  Shadowmoor
259 ; Rattleblaze Scarecrow ; Artifact Creature - Scarecrow 5/3 ; 6 ; Common ; Trevor Hairsine ;  Shadowmoor
260 ; Reaper King ; Legendary Artifact Creature - Scarecrow 6/6 ; {2/W}{2/U}{2/B}{2/R}{2/G} ; Rare ; Jim Murray ;  Shadowmoor
261 ; Revelsong Horn ; Artifact ; 2 ; Uncommon ; Franz Vohwinkel ;  Shadowmoor
262 ; Scrapbasket ; Artifact Creature - Scarecrow 3/2 ; 4 ; Common ; Heather Hudson ;  Shadowmoor
263 ; Scuttlemutt ; Artifact Creature - Scarecrow 2/2 ; 3 ; Common ; Jeremy Jarvis ;  Shadowmoor
264 ; Tatterkite ; Artifact Creature - Scarecrow 2/1 ; 3 ; Uncommon ; Ron Brown ;  Shadowmoor
265 ; Thornwatch Scarecrow ; Artifact Creature - Scarecrow 4/4 ; 6 ; Common ; Chuck Lukacs ;  Shadowmoor
266 ; Trip Noose ; Artifact ; 2 ; Uncommon ; Randy Gallegos ;  Shadowmoor
267 ; Umbral Mantle ; Artifact - Equipment ; 3 ; Uncommon ; Richard Sardinha ;  Shadowmoor
268 ; Watchwing Scarecrow ; Artifact Creature - Scarecrow 2/4 ; 4 ; Common ; Chuck Lukacs ;  Shadowmoor
269 ; Wicker Warcrawler ; Artifact Creature - Scarecrow 6/6 ; 5 ; Uncommon ; Carl Critchlow ;  Shadowmoor
270 ; Wingrattle Scarecrow ; Artifact Creature - Scarecrow 2/2 ; 3 ; Common ; Trevor Hairsine ;  Shadowmoor
271 ; Fire-Lit Thicket ; Land ; ; Rare ; Ralph Horsley ;  Shadowmoor
272 ; Graven Cairns ; Land ; ; Rare ; Rob Alexander ;  Shadowmoor
273 ; Leechridden Swamp ; Land - Swamp ; ; Uncommon ; Lars Grant-West ;  Shadowmoor
274 ; Madblind Mountain ; Land - Mountain ; ; Uncommon ; Fred Fields ;  Shadowmoor
275 ; Mistveil Plains ; Land - Plains ; ; Uncommon ; Rob Alexander ;  Shadowmoor
276 ; Moonring Island ; Land - Island ; ; Uncommon ; Brandon Kitkouski ;  Shadowmoor
277 ; Mystic Gate ; Land ; ; Rare ; Fred Fields ;  Shadowmoor
278 ; Reflecting Pool ; Land ; ; Rare ; Fred Fields ;  Shadowmoor
279 ; Sapseep Forest ; Land - Forest ; ; Uncommon ; Aleksi Briclot ;  Shadowmoor
280 ; Sunken Ruins ; Land ; ; Rare ; Warren Mahy ;  Shadowmoor
281 ; Wooded Bastion ; Land ; ; Rare ; Christopher Moeller ;  Shadowmoor
282 ; Plains ; Basic Land - Plains ; ; Land ; Omar Rayyan ;  Shadowmoor
283 ; Plains ; Basic Land - Plains ; ; Land ; Lars Grant-West ;  Shadowmoor
284 ; Plains ; Basic Land - Plains ; ; Land ; Dave Kendall ;  Shadowmoor
285 ; Plains ; Basic Land - Plains ; ; Land ; Larry MacDougall ;  Shadowmoor
286 ; Island ; Basic Land - Island ; ; Land ; Omar Rayyan ;  Shadowmoor
287 ; Island ; Basic Land - Island ; ; Land ; Warren Mahy ;  Shadowmoor
288 ; Island ; Basic Land - Island ; ; Land ; Brandon Kitkouski ;  Shadowmoor
289 ; Island ; Basic Land - Island ; ; Land ; Rob Alexander ;  Shadowmoor
290 ; Swamp ; Basic Land - Swamp ; ; Land ; Lars Grant-West ;  Shadowmoor
291 ; Swamp ; Basic Land - Swamp ; ; Land ; Warren Mahy ;  Shadowmoor
292 ; Swamp ; Basic Land - Swamp ; ; Land ; rk post ;  Shadowmoor
293 ; Swamp ; Basic Land - Swamp ; ; Land ; Chippy ;  Shadowmoor
294 ; Mountain ; Basic Land - Mountain ; ; Land ; Dave Kendall ;  Shadowmoor
295 ; Mountain ; Basic Land - Mountain ; ; Land ; Brandon Kitkouski ;  Shadowmoor
296 ; Mountain ; Basic Land - Mountain ; ; Land ; rk post ;  Shadowmoor
297 ; Mountain ; Basic Land - Mountain ; ; Land ; Steve Prescott ;  Shadowmoor
298 ; Forest ; Basic Land - Forest ; ; Land ; Larry MacDougall ;  Shadowmoor
299 ; Forest ; Basic Land - Forest ; ; Land ; Rob Alexander ;  Shadowmoor
300 ; Forest ; Basic Land - Forest ; ; Land ; Chippy ;  Shadowmoor
301 ; Forest ; Basic Land - Forest ; ; Land ; Steve Prescott ;  Shadowmoor
