1 ; Blessed Breath ; Instant - Arcane ; W ; Common ; Tsutomu Kawade ;  Champions of Kamigawa
229 ; Myojin of Life's Web ; Legendary Creature - Spirit 8/8 ; 6GGG ; Rare ; Kev Walker ;  Champions of Kamigawa
230 ; Nature's Will ; Enchantment ; 2GG ; Rare ; Mitch Cotie ;  Champions of Kamigawa
231 ; Orbweaver Kumo ; Creature - Spirit 3/4 ; 4GG ; Uncommon ; Dan Scott ;  Champions of Kamigawa
232 ; Order of the Sacred Bell ; Creature - Human Monk 4/3 ; 3G ; Common ; Carl Critchlow ;  Champions of Kamigawa
233 ; Orochi Eggwatcher ; Creature - Snake Shaman 1/1 ; 2G ; Uncommon ; Dan Scott ;  Champions of Kamigawa
234 ; Orochi Leafcaller ; Creature - Snake Shaman 1/1 ; G ; Common ; Joel Thomas ;  Champions of Kamigawa
235 ; Orochi Ranger ; Creature - Snake Warrior 2/1 ; 1G ; Common ; Greg Hildebrandt ;  Champions of Kamigawa
236 ; Orochi Sustainer ; Creature - Snake Shaman 1/2 ; 1G ; Common ; rk post ;  Champions of Kamigawa
237 ; Rootrunner ; Creature - Spirit 3/3 ; 2GG ; Uncommon ; Adam Rex ;  Champions of Kamigawa
238 ; Sachi, Daughter of Seshiro ; Legendary Creature - Snake Shaman 1/3 ; 2GG ; Uncommon ; Nottsuo ;  Champions of Kamigawa
239 ; Sakura-Tribe Elder ; Creature - Snake Shaman 1/1 ; 1G ; Common ; Carl Critchlow ;  Champions of Kamigawa
240 ; Serpent Skin ; Enchant Creature ; 2G ; Common ; Rob Alexander ;  Champions of Kamigawa
241 ; Seshiro the Anointed ; Legendary Creature - Snake Monk 3/4 ; 4GG ; Rare ; Daren Bader ;  Champions of Kamigawa
242 ; Shisato, Whispering Hunter ; Legendary Creature - Snake Warrior 2/2 ; 3G ; Rare ; John Bolton ;  Champions of Kamigawa
243 ; Soilshaper ; Creature - Spirit 1/1 ; 1G ; Uncommon ; Thomas M. Baxa ;  Champions of Kamigawa
244 ; Sosuke, Son of Seshiro ; Legendary Creature - Snake Warrior 3/4 ; 2GG ; Uncommon ; Carl Critchlow ;  Champions of Kamigawa
245 ; Strength of Cedars ; Instant - Arcane ; 4G ; Uncommon ; Edward P. Beard, Jr. ;  Champions of Kamigawa
246 ; Thousand-legged Kami ; Creature - Spirit 6/6 ; 6GG ; Uncommon ; Nottsuo ;  Champions of Kamigawa
247 ; Time of Need ; Sorcery ; 1G ; Uncommon ; Dany Orizio ;  Champions of Kamigawa
248 ; Venerable Kumo ; Creature - Spirit 2/3 ; 4G ; Common ; Carl Critchlow ;  Champions of Kamigawa
249 ; Vine Kami ; Creature - Spirit 4/4 ; 6G ; Common ; Tsutomu Kawade ;  Champions of Kamigawa
250 ; Wear Away ; Instant - Arcane ; GG ; Common ; Tim Hildebrandt ;  Champions of Kamigawa
251 ; General's Kabuto ; Artifact - Equipment ; 4 ; Rare ; Alex Horley-Orlandelli ;  Champions of Kamigawa
252 ; Hair-Strung Koto ; Artifact ; 6 ; Rare ; Rebecca Guay ;  Champions of Kamigawa
253 ; Hankyu ; Artifact - Equipment ; 1 ; Uncommon ; Ben Thompson ;  Champions of Kamigawa
254 ; Honor-Worn Shaku ; Artifact ; 3 ; Uncommon ; Tony Szczudlo ;  Champions of Kamigawa
255 ; Imi Statue ; Artifact ; 3 ; Rare ; Todd Lockwood ;  Champions of Kamigawa
256 ; Jade Idol ; Artifact ; 4 ; Uncommon ; Ben Thompson ;  Champions of Kamigawa
257 ; Journeyer's Kite ; Artifact ; 2 ; Rare ; Hiro Izawa ;  Champions of Kamigawa
258 ; Junkyo Bell ; Artifact ; 4 ; Rare ; Kensuke Okabayashi ;  Champions of Kamigawa
259 ; Konda's Banner ; Legendary Artifact - Equipment ; 2 ; Rare ; Donato Giancola ;  Champions of Kamigawa
260 ; Kusari-Gama ; Artifact - Equipment ; 3 ; Rare ; Tomas Giorello ;  Champions of Kamigawa
261 ; Long-Forgotten Gohei ; Artifact ; 3 ; Rare ; Alan Pollack ;  Champions of Kamigawa
262 ; Moonring Mirror ; Artifact ; 5 ; Rare ; Christopher Rush ;  Champions of Kamigawa
263 ; Nine-Ringed Bo ; Artifact ; 3 ; Uncommon ; Ralph Horsley ;  Champions of Kamigawa
264 ; No-Dachi ; Artifact - Equipment ; 2 ; Uncommon ; Christopher Rush ;  Champions of Kamigawa
265 ; Oathkeeper, Takeno's Daisho ; Legendary Artifact - Equipment ; 3 ; Rare ; Arnie Swekel ;  Champions of Kamigawa
266 ; Orochi Hatchery ; Artifact ; XX ; Rare ; Alex Horley-Orlandelli ;  Champions of Kamigawa
267 ; Reito Lantern ; Artifact ; 2 ; Uncommon ; Tim Hildebrandt ;  Champions of Kamigawa
268 ; Sensei's Divining Top ; Artifact ; 1 ; Uncommon ; Michael Sutfin ;  Champions of Kamigawa
269 ; Shell of the Last Kappa ; Legendary Artifact ; 3 ; Rare ; David Martin ;  Champions of Kamigawa
270 ; Tatsumasa, the Dragon's Fang ; Legendary Artifact - Equipment ; 6 ; Rare ; Martina Pilcerova ;  Champions of Kamigawa
271 ; Tenza, Godo's Maul ; Legendary Artifact - Equipment ; 3 ; Uncommon ; Paolo Parente ;  Champions of Kamigawa
272 ; Uba Mask ; Artifact ; 4 ; Rare ; Randy Gallegos ;  Champions of Kamigawa
273 ; Boseiju, Who Shelters All ; Legendary Land ; ; Rare ; Ralph Horsley ;  Champions of Kamigawa
274 ; Cloudcrest Lake ; Land ; ; Uncommon ; John Avon ;  Champions of Kamigawa
275 ; Eiganjo Castle ; Legendary Land ; ; Rare ; Wayne England ;  Champions of Kamigawa
276 ; Forbidden Orchard ; Land ; ; Rare ; Dany Orizio ;  Champions of Kamigawa
277 ; Hall of the Bandit Lord ; Legendary Land ; ; Rare ; Paolo Parente ;  Champions of Kamigawa
278 ; Lantern-Lit Graveyard ; Land ; ; Uncommon ; John Avon ;  Champions of Kamigawa
279 ; Minamo, School at Water's Edge ; Legendary Land ; ; Rare ; Jeremy Jarvis ;  Champions of Kamigawa
280 ; Okina, Temple to the Grandfathers ; Legendary Land ; ; Rare ; Keith Garletts ;  Champions of Kamigawa
281 ; Pinecrest Ridge ; Land ; ; Uncommon ; John Avon ;  Champions of Kamigawa
282 ; Shinka, the Bloodsoaked Keep ; Legendary Land ; ; Rare ; Thomas M. Baxa ;  Champions of Kamigawa
283 ; Shizo, Death's Storehouse ; Legendary Land ; ; Rare ; John Matson ;  Champions of Kamigawa
284 ; Tranquil Garden ; Land ; ; Uncommon ; John Avon ;  Champions of Kamigawa
285 ; Untaidake, the Cloud Keeper ; Legendary Land ; ; Rare ; John Avon ;  Champions of Kamigawa
286 ; Waterveil Cavern ; Land ; ; Uncommon ; John Avon ;  Champions of Kamigawa
287 ; Plains ; Basic Land - Plains ; ; Land ; Greg Staples ;  Champions of Kamigawa
288 ; Plains ; Basic Land - Plains ; ; Land ; Greg Staples ;  Champions of Kamigawa
289 ; Plains ; Basic Land - Plains ; ; Land ; Greg Staples ;  Champions of Kamigawa
290 ; Plains ; Basic Land - Plains ; ; Land ; Greg Staples ;  Champions of Kamigawa
291 ; Island ; Basic Land - Island ; ; Land ; Martina Pilcerova ;  Champions of Kamigawa
292 ; Island ; Basic Land - Island ; ; Land ; Martina Pilcerova ;  Champions of Kamigawa
293 ; Island ; Basic Land - Island ; ; Land ; Martina Pilcerova ;  Champions of Kamigawa
294 ; Island ; Basic Land - Island ; ; Land ; Martina Pilcerova ;  Champions of Kamigawa
295 ; Swamp ; Basic Land - Swamp ; ; Land ; Jim Nelson ;  Champions of Kamigawa
296 ; Swamp ; Basic Land - Swamp ; ; Land ; Jim Nelson ;  Champions of Kamigawa
297 ; Swamp ; Basic Land - Swamp ; ; Land ; Jim Nelson ;  Champions of Kamigawa
298 ; Swamp ; Basic Land - Swamp ; ; Land ; Jim Nelson ;  Champions of Kamigawa
299 ; Mountain ; Basic Land - Mountain ; ; Land ; John Avon ;  Champions of Kamigawa
300 ; Mountain ; Basic Land - Mountain ; ; Land ; John Avon ;  Champions of Kamigawa
301 ; Mountain ; Basic Land - Mountain ; ; Land ; John Avon ;  Champions of Kamigawa
302 ; Mountain ; Basic Land - Mountain ; ; Land ; John Avon ;  Champions of Kamigawa
303 ; Forest ; Basic Land - Forest ; ; Land ; Rob Alexander ;  Champions of Kamigawa
304 ; Forest ; Basic Land - Forest ; ; Land ; Rob Alexander ;  Champions of Kamigawa
305 ; Forest ; Basic Land - Forest ; ; Land ; Rob Alexander ;  Champions of Kamigawa
306 ; Forest ; Basic Land - Forest ; ; Land ; Rob Alexander ;  Champions of Kamigawa
307 ; Kenzo the Hardhearted ; Legendary Creature - Human Samurai 3/4 ; W ; Uncommon ; Mark Zug ;  Champions of Kamigawa
308 ; Autumn-Tail, Kitsune Sage ; Legendary Creature - Fox Wizard 4/5 ; 3W ; Rare ; Jim Murray ;  Champions of Kamigawa
309 ; Tomoya the Revealer ; Legendary Creature - Human Wizard 2/3 ; 1U ; Rare ; Glen Angus ;  Champions of Kamigawa
310 ; Tobita, Master of Winds ; Legendary Creature - Human Wizard 3/3 ; 1U ; Uncommon ; Ittoku ;  Champions of Kamigawa
311 ; Nighteyes the Desecrator ; Legendary Creature - Rat Wizard 4/2 ; 1B ; Uncommon ; Jim Nelson ;  Champions of Kamigawa
312 ; Stabwhisker the Odious ; Legendary Creature - Rat Shaman 3/3 ; 1B ; Rare ; Daren Bader ;  Champions of Kamigawa
313 ; Tok-Tok, Volcano Born ; Legendary Creature - Goblin Shaman 2/2 ; 3R ; Rare ; Matt Cavotta ;  Champions of Kamigawa
314 ; Goka the Unjust ; Legendary Creature - Ogre Shaman 4/4 ; 3R ; Uncommon ; Carl Critchlow ;  Champions of Kamigawa
315 ; Dokai, Weaver of Life ; Legendary Creature - Human Monk 3/3 ; 1G ; Rare ; Kev Walker ;  Champions of Kamigawa
316 ; Shidako, Broodmistress ; Legendary Creature - Snake Shaman 3/3 ; 2G ; Uncommon ; Dan Scott ;  Champions of Kamigawa
317 ; Brothers Yamazaki ; Legendary Creature - Human Samurai 2/1 ; 2R ; Uncommon ; Ron Spears ;  Champions of Kamigawa
