1 ; All Is Dust ; Tribal Sorcery - Eldrazi ; 7 ; Mythic Rare ; Jason Felix ;  Rise of the Eldrazi
235 ; Island ; Basic Land - Island ; ; Land ; Vincent Proce ;  Rise of the Eldrazi
236 ; Island ; Basic Land - Island ; ; Land ; Vincent Proce ;  Rise of the Eldrazi
237 ; Swamp ; Basic Land - Swamp ; ; Land ; Véronique Meignaud ;  Rise of the Eldrazi
238 ; Swamp ; Basic Land - Swamp ; ; Land ; Véronique Meignaud ;  Rise of the Eldrazi
239 ; Swamp ; Basic Land - Swamp ; ; Land ; Véronique Meignaud ;  Rise of the Eldrazi
240 ; Swamp ; Basic Land - Swamp ; ; Land ; Véronique Meignaud ;  Rise of the Eldrazi
241 ; Mountain ; Basic Land - Mountain ; ; Land ; James Paick ;  Rise of the Eldrazi
242 ; Mountain ; Basic Land - Mountain ; ; Land ; James Paick ;  Rise of the Eldrazi
243 ; Mountain ; Basic Land - Mountain ; ; Land ; James Paick ;  Rise of the Eldrazi
244 ; Mountain ; Basic Land - Mountain ; ; Land ; James Paick ;  Rise of the Eldrazi
245 ; Forest ; Basic Land - Forest ; ; Land ; Jung Park ;  Rise of the Eldrazi
246 ; Forest ; Basic Land - Forest ; ; Land ; Jung Park ;  Rise of the Eldrazi
247 ; Forest ; Basic Land - Forest ; ; Land ; Jung Park ;  Rise of the Eldrazi
248 ; Forest ; Basic Land - Forest ; ; Land ; Jung Park ;  Rise of the Eldrazi
