1 ; Animate Dead ; Enchant Dead Creature ; 1B ; Uncommon ; Anson Maddocks ;  Revised Edition
280 ; Winter Orb ; Artifact ; 2 ; Rare ; Mark Tedin ;  Revised Edition
281 ; Wooden Sphere ; Artifact ; 1 ; Uncommon ; Mark Tedin ;  Revised Edition
282 ; Badlands ; Land ; ; Rare ; Rob Alexander ;  Revised Edition
283 ; Bayou ; Land ; ; Rare ; Jesper Myrfors ;  Revised Edition
284 ; Forest ; Land ; ; Land ; Christopher Rush ;  Revised Edition
285 ; Forest ; Land ; ; Land ; Christopher Rush ;  Revised Edition
286 ; Forest ; Land ; ; Land ; Christopher Rush ;  Revised Edition
287 ; Island ; Land ; ; Land ; Mark Poole ;  Revised Edition
288 ; Island ; Land ; ; Land ; Mark Poole ;  Revised Edition
289 ; Island ; Land ; ; Land ; Mark Poole ;  Revised Edition
290 ; Mountain ; Land ; ; Land ; Douglas Shuler ;  Revised Edition
291 ; Mountain ; Land ; ; Land ; Douglas Shuler ;  Revised Edition
292 ; Mountain ; Land ; ; Land ; Douglas Shuler ;  Revised Edition
293 ; Plains ; Land ; ; Land ; Jesper Myrfors ;  Revised Edition
294 ; Plains ; Land ; ; Land ; Jesper Myrfors ;  Revised Edition
295 ; Plains ; Land ; ; Land ; Jesper Myrfors ;  Revised Edition
296 ; Plateau ; Land ; ; Rare ; Cornelius Brudi ;  Revised Edition
297 ; Savannah ; Land ; ; Rare ; Rob Alexander ;  Revised Edition
298 ; Scrubland ; Land ; ; Rare ; Jesper Myrfors ;  Revised Edition
299 ; Swamp ; Land ; ; Land ; Dan Frazier ;  Revised Edition
300 ; Swamp ; Land ; ; Land ; Dan Frazier ;  Revised Edition
301 ; Swamp ; Land ; ; Land ; Dan Frazier ;  Revised Edition
302 ; Taiga ; Land ; ; Rare ; Rob Alexander ;  Revised Edition
303 ; Tropical Island ; Land ; ; Rare ; Jesper Myrfors ;  Revised Edition
304 ; Tundra ; Land ; ; Rare ; Jesper Myrfors ;  Revised Edition
305 ; Underground Sea ; Land ; ; Rare ; Rob Alexander ;  Revised Edition
306 ; Volcanic Island ; Land ; ; Rare ; Brian Snoddy ;  Revised Edition
