1 ; Abyssal Specter ; Summon Specter 2/3 ; 2BB ; Uncommon ; George Pratt ;  Fifth Edition
270 ; Stone Rain ; Sorcery ; 2R ; Common ; Tony Roberts ;  Fifth Edition
271 ; Stone Spirit ; Summon Spirit 4/3 ; 4R ; Uncommon ; James Allen ;  Fifth Edition
272 ; The Brute ; Enchant Creature ; 1R ; Common ; Douglas Shuler ;  Fifth Edition
273 ; Wall of Fire ; Summon Wall 0/5 ; 1RR ; Uncommon ; Tony Roberts ;  Fifth Edition
274 ; Wall of Stone ; Summon Wall 0/8 ; 1RR ; Uncommon ; Thomas Gianni ;  Fifth Edition
275 ; Winds of Change ; Sorcery ; R ; Rare ; Blackie del Rio ;  Fifth Edition
276 ; Word of Blasting ; Instant ; 1R ; Uncommon ; Ken Meyer, Jr. ;  Fifth Edition
277 ; Abbey Gargoyles ; Summon Gargoyles 3/4 ; 2WWW ; Uncommon ; Christopher Rush ;  Fifth Edition
278 ; Akron Legionnaire ; Summon Legionnaire 8/4 ; 6WW ; Rare ; Mark Poole ;  Fifth Edition
279 ; Alabaster Potion ; Instant ; XWW ; Common ; Harold McNeill ;  Fifth Edition
280 ; Angry Mob ; Summon Mob 2+*/2+* ; 2WW ; Uncommon ; Drew Tucker ;  Fifth Edition
281 ; Animate Wall ; Enchant Creature ; W ; Rare ; Richard Kane Ferguson ;  Fifth Edition
282 ; Arenson's Aura ; Enchantment ; 2W ; Uncommon ; D. Alexander Gregory ;  Fifth Edition
283 ; Armageddon ; Sorcery ; 3W ; Rare ; Jesper Myrfors ;  Fifth Edition
284 ; Armor of Faith ; Enchant Creature ; W ; Common ; Anson Maddocks ;  Fifth Edition
285 ; Aysen Bureaucrats ; Summon Bureaucrats 1/1 ; 1W ; Common ; Adrian Smith ;  Fifth Edition
286 ; Benalish Hero ; Summon Hero 1/1 ; W ; Common ; Douglas Shuler ;  Fifth Edition
287 ; Blessed Wine ; Instant ; 1W ; Common ; Kaja Foglio ;  Fifth Edition
288 ; Blinking Spirit ; Summon Blinking Spirit 2/2 ; 3W ; Rare ; L. A. Williams ;  Fifth Edition
289 ; Brainwash ; Enchant Creature ; W ; Common ; Terese Nielsen ;  Fifth Edition
290 ; Caribou Range ; Enchant Land ; 2WW ; Rare ; Una Fricker ;  Fifth Edition
291 ; Castle ; Enchantment ; 3W ; Uncommon ; David O'Connor ;  Fifth Edition
292 ; Circle of Protection: Artifacts ; Enchantment ; 1W ; Uncommon ; Pete Venters ;  Fifth Edition
293 ; Circle of Protection: Black ; Enchantment ; 1W ; Common ; Gerry Grace ;  Fifth Edition
294 ; Circle of Protection: Blue ; Enchantment ; 1W ; Common ; Gerry Grace ;  Fifth Edition
295 ; Circle of Protection: Green ; Enchantment ; 1W ; Common ; Gerry Grace ;  Fifth Edition
296 ; Circle of Protection: Red ; Enchantment ; 1W ; Common ; Gerry Grace ;  Fifth Edition
297 ; Circle of Protection: White ; Enchantment ; 1W ; Common ; Gerry Grace ;  Fifth Edition
298 ; Crusade ; Enchantment ; WW ; Rare ; D. Alexander Gregory ;  Fifth Edition
299 ; D'Avenant Archer ; Summon Archer 1/2 ; 2W ; Common ; Douglas Shuler ;  Fifth Edition
300 ; Death Speakers ; Summon Speakers 1/1 ; W ; Common ; Andrew Robinson ;  Fifth Edition
301 ; Death Ward ; Instant ; W ; Common ; Mark Poole ;  Fifth Edition
302 ; Disenchant ; Instant ; 1W ; Common ; Brian Snoddy ;  Fifth Edition
303 ; Divine Offering ; Instant ; 1W ; Common ; Jeff A. Menges ;  Fifth Edition
304 ; Divine Transformation ; Enchant Creature ; 2WW ; Uncommon ; NÈNÈ Thomas ;  Fifth Edition
305 ; Dust to Dust ; Sorcery ; 1WW ; Uncommon ; Doug Keith ;  Fifth Edition
306 ; Eye for an Eye ; Instant ; WW ; Rare ; Mark Poole ;  Fifth Edition
307 ; Greater Realm of Preservation ; Enchantment ; 1W ; Uncommon ; Steve Luke ;  Fifth Edition
308 ; Heal ; Instant ; W ; Common ; Mark Tedin ;  Fifth Edition
309 ; Healing Salve ; Instant ; W ; Common ; Zina Saunders ;  Fifth Edition
310 ; Hipparion ; Summon Hipparion 1/3 ; 1W ; Common ; Margaret Organ-Kean ;  Fifth Edition
311 ; Holy Strength ; Enchant Creature ; W ; Common ; Anson Maddocks ;  Fifth Edition
312 ; Icatian Phalanx ; Summon Soldiers 2/4 ; 4W ; Uncommon ; Kaja Foglio ;  Fifth Edition
313 ; Icatian Scout ; Summon Soldier 1/1 ; W ; Common ; Rob Alexander ;  Fifth Edition
314 ; Icatian Town ; Sorcery ; 5W ; Rare ; Tom W‰nerstrand ;  Fifth Edition
315 ; Island Sanctuary ; Enchantment ; 1W ; Rare ; Mark Poole ;  Fifth Edition
316 ; Ivory Guardians ; Summon Guardians 3/3 ; 4WW ; Uncommon ; Adam Rex ;  Fifth Edition
317 ; Justice ; Enchantment ; 2WW ; Uncommon ; Ruth Thompson ;  Fifth Edition
318 ; Karma ; Enchantment ; 2WW ; Uncommon ; Bob Eggleton ;  Fifth Edition
319 ; Kismet ; Enchantment ; 3W ; Uncommon ; Kaja Foglio ;  Fifth Edition
320 ; Kjeldoran Royal Guard ; Summon Soldiers 2/5 ; 3WW ; Rare ; L. A. Williams ;  Fifth Edition
321 ; Kjeldoran Skycaptain ; Summon Soldier 2/2 ; 4W ; Uncommon ; Mark Poole ;  Fifth Edition
322 ; Mesa Falcon ; Summon Falcon 1/1 ; 1W ; Common ; Mark Poole ;  Fifth Edition
323 ; Mesa Pegasus ; Summon Pegasus 1/1 ; 1W ; Common ; Melissa A. Benson ;  Fifth Edition
324 ; Order of the Sacred Torch ; Summon Paladin 2/2 ; 1WW ; Rare ; Ruth Thompson ;  Fifth Edition
325 ; Order of the White Shield ; Summon Knights 2/1 ; WW ; Uncommon ; Ruth Thompson ;  Fifth Edition
326 ; Pearled Unicorn ; Summon Unicorn 2/2 ; 2W ; Common ; David A. Cherry ;  Fifth Edition
327 ; Personal Incarnation ; Summon Avatar 6/6 ; 3WWW ; Rare ; Kev Walker ;  Fifth Edition
328 ; Pikemen ; Summon Pikemen 1/1 ; 1W ; Common ; Dan Frazier ;  Fifth Edition
329 ; Prismatic Ward ; Enchant Creature ; 1W ; Common ; Zina Saunders ;  Fifth Edition
330 ; Repentant Blacksmith ; Summon Smith 1/2 ; 1W ; Common ; Drew Tucker ;  Fifth Edition
331 ; Reverse Damage ; Instant ; 1WW ; Rare ; Thomas Gianni ;  Fifth Edition
332 ; Righteousness ; Instant ; W ; Rare ; Mike Dringenberg ;  Fifth Edition
333 ; Sacred Boon ; Instant ; 1W ; Uncommon ; Mike Raabe ;  Fifth Edition
334 ; Samite Healer ; Summon Cleric 1/1 ; 1W ; Common ; Tom W‰nerstrand ;  Fifth Edition
335 ; Seraph ; Summon Angel 4/4 ; 6W ; Rare ; D. Alexander Gregory ;  Fifth Edition
336 ; Serra Bestiary ; Enchant Creature ; WW ; Uncommon ; Steve Luke ;  Fifth Edition
337 ; Serra Paladin ; Summon Paladin 2/2 ; 2WW ; Uncommon ; Pete Venters ;  Fifth Edition
338 ; Shield Bearer ; Summon Soldier 0/3 ; 1W ; Common ; Dan Frazier ;  Fifth Edition
339 ; Shield Wall ; Instant ; 1W ; Common ; Scott Kirschner ;  Fifth Edition
340 ; Spirit Link ; Enchant Creature ; W ; Uncommon ; Kaja Foglio ;  Fifth Edition
341 ; Truce ; Instant ; 2W ; Rare ; Donato Giancola ;  Fifth Edition
342 ; Tundra Wolves ; Summon Wolves 1/1 ; W ; Common ; Quinton Hoover ;  Fifth Edition
343 ; Wall of Swords ; Summon Wall 3/5 ; 3W ; Uncommon ; Brian Snoddy ;  Fifth Edition
344 ; White Knight ; Summon Knight 2/2 ; WW ; Uncommon ; Daniel Gelon ;  Fifth Edition
345 ; Wrath of God ; Sorcery ; 2WW ; Rare ; Quinton Hoover ;  Fifth Edition
346 ; Aladdin's Ring ; Artifact ; 8 ; Rare ; Stuart Griffin ;  Fifth Edition
347 ; Amulet of Kroog ; Artifact ; 2 ; Common ; Margaret Organ-Kean ;  Fifth Edition
348 ; Ankh of Mishra ; Artifact ; 2 ; Rare ; Ian Miller ;  Fifth Edition
349 ; Ashnod's Altar ; Artifact ; 3 ; Uncommon ; Anson Maddocks ;  Fifth Edition
350 ; Ashnod's Transmogrant ; Artifact ; 1 ; Common ; Mark Tedin ;  Fifth Edition
351 ; Barbed Sextant ; Artifact ; 1 ; Common ; Amy Weber ;  Fifth Edition
352 ; Barl's Cage ; Artifact ; 4 ; Rare ; Tom W‰nerstrand ;  Fifth Edition
353 ; Battering Ram ; Artifact Creature 1/1 ; 2 ; Common ; Jeff A. Menges ;  Fifth Edition
354 ; Bottle of Suleiman ; Artifact ; 4 ; Rare ; DiTerlizzi ;  Fifth Edition
355 ; Clay Statue ; Artifact Creature 3/1 ; 4 ; Common ; Adam Rex ;  Fifth Edition
356 ; Clockwork Beast ; Artifact Creature 0/4 ; 6 ; Rare ; Drew Tucker ;  Fifth Edition
357 ; Clockwork Steed ; Artifact Creature 0/3 ; 4 ; Uncommon ; Terese Nielsen ;  Fifth Edition
358 ; Colossus of Sardia ; Artifact Creature 9/9 ; 9 ; Rare ; Hannibal King ;  Fifth Edition
359 ; Coral Helm ; Artifact ; 3 ; Rare ; Steve Luke ;  Fifth Edition
360 ; Crown of the Ages ; Artifact ; 2 ; Rare ; Roger Raupp ;  Fifth Edition
361 ; Crystal Rod ; Artifact ; 1 ; Uncommon ; Donato Giancola ;  Fifth Edition
362 ; Dancing Scimitar ; Artifact Creature 1/5 ; 4 ; Rare ; Anson Maddocks ;  Fifth Edition
363 ; Diabolic Machine ; Artifact Creature 4/4 ; 7 ; Uncommon ; James Allen ;  Fifth Edition
364 ; Dingus Egg ; Artifact ; 4 ; Rare ; Randy Gallegos ;  Fifth Edition
365 ; Disrupting Scepter ; Artifact ; 3 ; Rare ; Stuart Griffin ;  Fifth Edition
366 ; Dragon Engine ; Artifact Creature 1/3 ; 3 ; Rare ; Anson Maddocks ;  Fifth Edition
367 ; Elkin Bottle ; Artifact ; 3 ; Rare ; Quinton Hoover ;  Fifth Edition
368 ; Feldon's Cane ; Artifact ; 1 ; Uncommon ; Mark Tedin ;  Fifth Edition
369 ; Fellwar Stone ; Artifact ; 2 ; Uncommon ; Quinton Hoover ;  Fifth Edition
370 ; Feroz's Ban ; Artifact ; 6 ; Rare ; Heather Hudson ;  Fifth Edition
371 ; Flying Carpet ; Artifact ; 4 ; Rare ; Mark Tedin ;  Fifth Edition
372 ; Fountain of Youth ; Artifact ; 0 ; Uncommon ; Daniel Gelon ;  Fifth Edition
373 ; Gauntlets of Chaos ; Artifact ; 5 ; Rare ; Alan Rabinowitz ;  Fifth Edition
374 ; Glasses of Urza ; Artifact ; 1 ; Uncommon ; Douglas Shuler ;  Fifth Edition
375 ; Grapeshot Catapult ; Artifact Creature 2/3 ; 4 ; Common ; Dan Frazier ;  Fifth Edition
376 ; Helm of Chatzuk ; Artifact ; 1 ; Rare ; Mark Tedin ;  Fifth Edition
377 ; Howling Mine ; Artifact ; 2 ; Rare ; Mark Poole ;  Fifth Edition
378 ; Infinite Hourglass ; Artifact ; 4 ; Rare ; Adam Rex ;  Fifth Edition
379 ; Iron Star ; Artifact ; 1 ; Uncommon ; Donato Giancola ;  Fifth Edition
380 ; Ivory Cup ; Artifact ; 1 ; Uncommon ; Donato Giancola ;  Fifth Edition
381 ; Jade Monolith ; Artifact ; 4 ; Rare ; Richard Kane Ferguson ;  Fifth Edition
382 ; Jalum Tome ; Artifact ; 3 ; Rare ; Tom W‰nerstrand ;  Fifth Edition
383 ; Jandor's Saddlebags ; Artifact ; 2 ; Rare ; Roger Raupp ;  Fifth Edition
384 ; Jayemdae Tome ; Artifact ; 4 ; Rare ; Mark Tedin ;  Fifth Edition
385 ; Jester's Cap ; Artifact ; 4 ; Rare ; Dan Frazier ;  Fifth Edition
386 ; Joven's Tools ; Artifact ; 6 ; Uncommon ; Zina Saunders ;  Fifth Edition
387 ; Library of Leng ; Artifact ; 1 ; Uncommon ; Daniel Gelon ;  Fifth Edition
388 ; Mana Vault ; Artifact ; 1 ; Rare ; Mark Tedin ;  Fifth Edition
389 ; Meekstone ; Artifact ; 1 ; Rare ; Quinton Hoover ;  Fifth Edition
390 ; Millstone ; Artifact ; 2 ; Rare ; Kaja Foglio ;  Fifth Edition
391 ; Nevinyrral's Disk ; Artifact ; 4 ; Rare ; Mark Tedin ;  Fifth Edition
392 ; Obelisk of Undoing ; Artifact ; 1 ; Rare ; Tom W‰nerstrand ;  Fifth Edition
393 ; Ornithopter ; Artifact Creature 0/2 ; 0 ; Uncommon ; Amy Weber ;  Fifth Edition
394 ; Pentagram of the Ages ; Artifact ; 4 ; Rare ; Douglas Shuler ;  Fifth Edition
395 ; Primal Clay ; Artifact Creature */* ; 4 ; Rare ; Adam Rex ;  Fifth Edition
396 ; Rod of Ruin ; Artifact ; 4 ; Uncommon ; Christopher Rush ;  Fifth Edition
397 ; Serpent Generator ; Artifact ; 6 ; Rare ; Mark Tedin ;  Fifth Edition
398 ; Shapeshifter ; Artifact Creature */7-* ; 6 ; Uncommon ; Adrian Smith ;  Fifth Edition
399 ; Skull Catapult ; Artifact ; 4 ; Uncommon ; Ian Miller ;  Fifth Edition
400 ; Soul Net ; Artifact ; 1 ; Uncommon ; Andrew Robinson ;  Fifth Edition
401 ; Tawnos's Weaponry ; Artifact ; 2 ; Uncommon ; John Coulthart ;  Fifth Edition
402 ; The Hive ; Artifact ; 5 ; Rare ; Sandra Everingham ;  Fifth Edition
403 ; Throne of Bone ; Artifact ; 1 ; Uncommon ; Donato Giancola ;  Fifth Edition
404 ; Time Bomb ; Artifact ; 4 ; Rare ; George Pratt ;  Fifth Edition
405 ; Urza's Avenger ; Artifact Creature 4/4 ; 6 ; Rare ; Amy Weber ;  Fifth Edition
406 ; Urza's Bauble ; Artifact ; 0 ; Uncommon ; Christopher Rush ;  Fifth Edition
407 ; Wall of Spears ; Artifact Creature 2/3 ; 3 ; Common ; Zak Plucinski ;  Fifth Edition
408 ; Winter Orb ; Artifact ; 2 ; Rare ; Mark Tedin ;  Fifth Edition
409 ; Wooden Sphere ; Artifact ; 1 ; Uncommon ; Donato Giancola ;  Fifth Edition
410 ; Adarkar Wastes ; Land ; ; Rare ; Gary Leach ;  Fifth Edition
411 ; Bottomless Vault ; Land ; ; Rare ; David Seeley ;  Fifth Edition
412 ; Brushland ; Land ; ; Rare ; Tom W‰nerstrand ;  Fifth Edition
413 ; City of Brass ; Land ; ; Rare ; Tom W‰nerstrand ;  Fifth Edition
414 ; Dwarven Hold ; Land ; ; Rare ; David Seeley ;  Fifth Edition
415 ; Dwarven Ruins ; Land ; ; Uncommon ; Liz Danforth ;  Fifth Edition
416 ; Ebon Stronghold ; Land ; ; Uncommon ; Liz Danforth ;  Fifth Edition
417 ; Forest ; Land ; ; Land ; David O'Connor ;  Fifth Edition
418 ; Forest ; Land ; ; Land ; David O'Connor ;  Fifth Edition
419 ; Forest ; Land ; ; Land ; David O'Connor ;  Fifth Edition
420 ; Forest ; Land ; ; Land ; David O'Connor ;  Fifth Edition
421 ; Havenwood Battleground ; Land ; ; Uncommon ; Liz Danforth ;  Fifth Edition
422 ; Hollow Trees ; Land ; ; Rare ; David Seeley ;  Fifth Edition
423 ; Icatian Store ; Land ; ; Rare ; David Seeley ;  Fifth Edition
424 ; Ice Floe ; Land ; ; Uncommon ; John Avon ;  Fifth Edition
425 ; Island ; Land ; ; Land ; J. W. Frost ;  Fifth Edition
426 ; Island ; Land ; ; Land ; J. W. Frost ;  Fifth Edition
427 ; Island ; Land ; ; Land ; J. W. Frost ;  Fifth Edition
428 ; Island ; Land ; ; Land ; J. W. Frost ;  Fifth Edition
429 ; Karplusan Forest ; Land ; ; Rare ; Randy Gallegos ;  Fifth Edition
430 ; Mountain ; Land ; ; Land ; John Avon ;  Fifth Edition
431 ; Mountain ; Land ; ; Land ; John Avon ;  Fifth Edition
432 ; Mountain ; Land ; ; Land ; John Avon ;  Fifth Edition
433 ; Mountain ; Land ; ; Land ; John Avon ;  Fifth Edition
434 ; Plains ; Land ; ; Land ; Pat Morrissey ;  Fifth Edition
435 ; Plains ; Land ; ; Land ; Pat Morrissey ;  Fifth Edition
436 ; Plains ; Land ; ; Land ; Pat Morrissey ;  Fifth Edition
437 ; Plains ; Land ; ; Land ; Pat Morrissey ;  Fifth Edition
438 ; Ruins of Trokair ; Land ; ; Uncommon ; Liz Danforth ;  Fifth Edition
439 ; Sand Silos ; Land ; ; Rare ; David Seeley ;  Fifth Edition
440 ; Sulfurous Springs ; Land ; ; Rare ; Jeff Miracola ;  Fifth Edition
441 ; Svyelunite Temple ; Land ; ; Uncommon ; Liz Danforth ;  Fifth Edition
442 ; Swamp ; Land ; ; Land ; Andrew Robinson ;  Fifth Edition
443 ; Swamp ; Land ; ; Land ; Andrew Robinson ;  Fifth Edition
444 ; Swamp ; Land ; ; Land ; Andrew Robinson ;  Fifth Edition
445 ; Swamp ; Land ; ; Land ; Andrew Robinson ;  Fifth Edition
446 ; Underground River ; Land ; ; Rare ; Jeff Miracola ;  Fifth Edition
447 ; Urza's Mine ; Land ; ; Common ; Anson Maddocks ;  Fifth Edition
448 ; Urza's Power Plant ; Land ; ; Common ; Mark Tedin ;  Fifth Edition
449 ; Urza's Tower ; Land ; ; Common ; Mark Poole ;  Fifth Edition
