1 ; Angel of Mercy ; Creature - Angel 3/3 ; 4W ; Uncommon ; Melissa A. Benson ;  Ninth Edition
261 ; Order of the Sacred Bell ; Creature - Human Monk 4/3 ; 3G ; Common ; Carl Critchlow ;  Ninth Edition
262 ; Overgrowth ; Enchantment - Aura ; 2G ; Common ; Christopher Rush ;  Ninth Edition
263 ; Rampant Growth ; Sorcery ; 1G ; Common ; Tom Kyffin ;  Ninth Edition
264 ; Reclaim ; Instant ; G ; Common ; Andrew Robinson ;  Ninth Edition
265 ; Regeneration ; Enchantment - Aura ; 1G ; Uncommon ; Adam Rex ;  Ninth Edition
266 ; River Bear ; Creature - Bear 3/3 ; 3G ; Uncommon ; Una Fricker ;  Ninth Edition
267 ; Rootbreaker Wurm ; Creature - Wurm 6/6 ; 5GG ; Uncommon ; Richard Kane Ferguson ;  Ninth Edition
268 ; Rootwalla ; Creature - Lizard 2/2 ; 2G ; Common ; Roger Raupp ;  Ninth Edition
269 ; Scaled Wurm ; Creature - Wurm 7/6 ; 7G ; Common ; Wayne England ;  Ninth Edition
270 ; Seedborn Muse ; Creature - Spirit 2/4 ; 3GG ; Rare ; Adam Rex ;  Ninth Edition
271 ; Silklash Spider ; Creature - Spider 2/7 ; 3GG ; Rare ; Iain McCaig ;  Ninth Edition
272 ; Stream of Life ; Sorcery ; XG ; Uncommon ; Andrew Goldhawk ;  Ninth Edition
273 ; Summer Bloom ; Sorcery ; 1G ; Uncommon ; Nicola Leonard ;  Ninth Edition
274 ; Trained Armodon ; Creature - Elephant 3/3 ; 1GG ; Common ; Gary Leach ;  Ninth Edition
275 ; Tree Monkey ; Creature - Ape 1/1 ; G ; Common ; John Matson ;  Ninth Edition
276 ; Treetop Bracers ; Enchantment - Aura ; 1G ; Common ; Heather Hudson ;  Ninth Edition
277 ; Utopia Tree ; Creature - Plant 0/2 ; 1G ; Rare ; Gary Ruddell ;  Ninth Edition
278 ; Verdant Force ; Creature - Elemental 7/7 ; 5GGG ; Rare ; DiTerlizzi ;  Ninth Edition
279 ; Verduran Enchantress ; Creature - Human Druid 0/2 ; 1GG ; Rare ; Rob Alexander ;  Ninth Edition
280 ; Viridian Shaman ; Creature - Elf Shaman 2/2 ; 2G ; Uncommon ; Scott M. Fischer ;  Ninth Edition
281 ; Web ; Enchantment - Aura ; G ; Uncommon ; Hugh Jamieson ;  Ninth Edition
282 ; Weird Harvest ; Sorcery ; XGG ; Rare ; Bob Petillo ;  Ninth Edition
283 ; Wood Elves ; Creature - Elf Scout 1/1 ; 2G ; Common ; Christopher Moeller ;  Ninth Edition
284 ; Yavimaya Enchantress ; Creature - Human Druid 2/2 ; 2G ; Uncommon ; Matthew D. Wilson ;  Ninth Edition
285 ; Zodiac Monkey ; Creature - Ape 2/1 ; 1G ; Common ; Richard Sardinha ;  Ninth Edition
286 ; Aladdin's Ring ; Artifact ; 8 ; Rare ; Dave Dorman ;  Ninth Edition
287 ; Angel's Feather ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Ninth Edition
288 ; Beast of Burden ; Artifact Creature - Golem */* ; 6 ; Rare ; Chippy ;  Ninth Edition
289 ; Booby Trap ; Artifact ; 6 ; Rare ; Doug Chaffee ;  Ninth Edition
290 ; Bottle Gnomes ; Artifact Creature - Gnome 1/3 ; 3 ; Uncommon ; Ben Thompson ;  Ninth Edition
291 ; Coat of Arms ; Artifact ; 5 ; Rare ; Scott M. Fischer ;  Ninth Edition
292 ; Dancing Scimitar ; Artifact Creature - Spirit 1/5 ; 4 ; Uncommon ; Ron Spears ;  Ninth Edition
293 ; Defense Grid ; Artifact ; 2 ; Rare ; Mark Tedin ;  Ninth Edition
294 ; Demon's Horn ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Ninth Edition
295 ; Disrupting Scepter ; Artifact ; 3 ; Rare ; Stuart Griffin ;  Ninth Edition
296 ; Dragon's Claw ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Ninth Edition
297 ; Fellwar Stone ; Artifact ; 2 ; Uncommon ; John Avon ;  Ninth Edition
298 ; Howling Mine ; Artifact ; 2 ; Rare ; Dana Knutson ;  Ninth Edition
299 ; Icy Manipulator ; Artifact ; 4 ; Uncommon ; Matt Cavotta ;  Ninth Edition
300 ; Jade Statue ; Artifact ; 4 ; Rare ; Jim Pavelec ;  Ninth Edition
301 ; Jester's Cap ; Artifact ; 4 ; Rare ; D. Alexander Gregory ;  Ninth Edition
302 ; Kraken's Eye ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Ninth Edition
303 ; Loxodon Warhammer ; Artifact - Equipment ; 3 ; Rare ; Jeremy Jarvis ;  Ninth Edition
304 ; Millstone ; Artifact ; 2 ; Rare ; John Avon ;  Ninth Edition
305 ; Ornithopter ; Artifact Creature - Thopter 0/2 ; 0 ; Uncommon ; Dana Knutson ;  Ninth Edition
306 ; Phyrexian Hulk ; Artifact Creature - Golem 5/4 ; 6 ; Uncommon ; Matthew D. Wilson ;  Ninth Edition
307 ; Rod of Ruin ; Artifact ; 4 ; Uncommon ; Eric Deschamps ;  Ninth Edition
308 ; Slate of Ancestry ; Artifact ; 4 ; Rare ; Corey D. Macourek ;  Ninth Edition
309 ; Spellbook ; Artifact ; 0 ; Uncommon ; Andrew Goldhawk ;  Ninth Edition
310 ; Storage Matrix ; Artifact ; 3 ; Rare ; Patrick Ho ;  Ninth Edition
311 ; Tanglebloom ; Artifact ; 1 ; Uncommon ; Val Mayerik ;  Ninth Edition
312 ; Teferi's Puzzle Box ; Artifact ; 4 ; Rare ; Donato Giancola ;  Ninth Edition
313 ; Thran Golem ; Artifact Creature - Golem 3/3 ; 5 ; Rare ; Ron Spears ;  Ninth Edition
314 ; Ur-Golem's Eye ; Artifact ; 4 ; Uncommon ; Heather Hudson ;  Ninth Edition
315 ; Vulshok Morningstar ; Artifact - Equipment ; 2 ; Uncommon ; David Martin ;  Ninth Edition
316 ; Wurm's Tooth ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Ninth Edition
317 ; Adarkar Wastes ; Land ; ; Rare ; John Avon ;  Ninth Edition
318 ; Battlefield Forge ; Land ; ; Rare ; Darrell Riche ;  Ninth Edition
319 ; Brushland ; Land ; ; Rare ; Scott Bailey ;  Ninth Edition
320 ; Caves of Koilos ; Land ; ; Rare ; Jim Nelson ;  Ninth Edition
321 ; Karplusan Forest ; Land ; ; Rare ; John Avon ;  Ninth Edition
322 ; Llanowar Wastes ; Land ; ; Rare ; Rob Alexander ;  Ninth Edition
323 ; Quicksand ; Land ; ; Uncommon ; Roger Raupp ;  Ninth Edition
324 ; Shivan Reef ; Land ; ; Rare ; Rob Alexander ;  Ninth Edition
325 ; Sulfurous Springs ; Land ; ; Rare ; Rob Alexander ;  Ninth Edition
326 ; Underground River ; Land ; ; Rare ; Andrew Goldhawk ;  Ninth Edition
327 ; Urza's Mine ; Land - Urza's Mine ; ; Uncommon ; Brian Snoddy ;  Ninth Edition
328 ; Urza's Power Plant ; Land - Urza's Power-Plant ; ; Uncommon ; Brian Snoddy ;  Ninth Edition
329 ; Urza's Tower ; Land - Urza's Tower ; ; Uncommon ; Brian Snoddy ;  Ninth Edition
330 ; Yavimaya Coast ; Land ; ; Rare ; Anthony S. Waters ;  Ninth Edition
331 ; Plains ; Basic Land - Plains ; ; Land ; John Avon ;  Ninth Edition
332 ; Plains ; Basic Land - Plains ; ; Land ; Matthew Mitchell ;  Ninth Edition
333 ; Plains ; Basic Land - Plains ; ; Land ; John Avon ;  Ninth Edition
334 ; Plains ; Basic Land - Plains ; ; Land ; Fred Fields ;  Ninth Edition
335 ; Island ; Basic Land - Island ; ; Land ; John Avon ;  Ninth Edition
336 ; Island ; Basic Land - Island ; ; Land ; John Avon ;  Ninth Edition
337 ; Island ; Basic Land - Island ; ; Land ; Tony Szczudlo ;  Ninth Edition
338 ; Island ; Basic Land - Island ; ; Land ; Scott Bailey ;  Ninth Edition
339 ; Swamp ; Basic Land - Swamp ; ; Land ; Bob Eggleton ;  Ninth Edition
340 ; Swamp ; Basic Land - Swamp ; ; Land ; John Avon ;  Ninth Edition
341 ; Swamp ; Basic Land - Swamp ; ; Land ; Dan Frazier ;  Ninth Edition
342 ; Swamp ; Basic Land - Swamp ; ; Land ; Larry Elmore ;  Ninth Edition
343 ; Mountain ; Basic Land - Mountain ; ; Land ; John Avon ;  Ninth Edition
344 ; Mountain ; Basic Land - Mountain ; ; Land ; John Avon ;  Ninth Edition
345 ; Mountain ; Basic Land - Mountain ; ; Land ; John Avon ;  Ninth Edition
346 ; Mountain ; Basic Land - Mountain ; ; Land ; Rob Alexander ;  Ninth Edition
347 ; Forest ; Basic Land - Forest ; ; Land ; John Avon ;  Ninth Edition
348 ; Forest ; Basic Land - Forest ; ; Land ; John Avon ;  Ninth Edition
349 ; Forest ; Basic Land - Forest ; ; Land ; John Avon ;  Ninth Edition
350 ; Forest ; Basic Land - Forest ; ; Land ; John Avon ;  Ninth Edition
