1 ; Abomination ; Summon Abomination 2/6 ; 3BB ; Uncommon (U1) ; Mark Tedin ;  Legends
268 ; Gwendlyn Di Corci ; Summon Legend 3/5 ; UBBR ; Rare (R1) ; Julie Baroh ;  Legends
269 ; Halfdane ; Summon Legend 3/3 ; 1WUB ; Rare (R1) ; Melissa Benson ;  Legends
270 ; Hazezon Tamar ; Summon Legend 2/4 ; 4WRG ; Rare (R1) ; Richard Kane Ferguson ;  Legends
271 ; Hunding Gjornersen ; Summon Legend 5/4 ; 3WUU ; Uncommon (U1) ; Richard Thomas ;  Legends
272 ; Jacques le Vert ; Summon Legend 3/2 ; 1WRG ; Rare (R1) ; Andi Rusu ;  Legends
273 ; Jasmine Boreal ; Summon Legend 4/5 ; 3WG ; Uncommon (U1) ; Richard Kane Ferguson ;  Legends
274 ; Jedit Ojanen ; Summon Legend 5/5 ; 4WWU ; Uncommon (U1) ; Mark Poole ;  Legends
275 ; Jerrard of the Closed Fist ; Summon Legend 6/5 ; 3RGG ; Uncommon (U1) ; Andi Rusu ;  Legends
276 ; Johan ; Summon Legend 5/4 ; 3WRG ; Rare (R1) ; Mark Tedin ;  Legends
277 ; Kasimir the Lone Wolf ; Summon Legend 5/3 ; 4WU ; Uncommon (U1) ; Richard Kane Ferguson ;  Legends
278 ; Kei Takahashi ; Summon Legend 2/2 ; 2WG ; Rare (R1) ; Scott Kirschner ;  Legends
279 ; Lady Caleria ; Summon Legend 3/6 ; 3WWGG ; Rare (R1) ; Bryon Wackwitz ;  Legends
280 ; Lady Evangela ; Summon Legend 1/2 ; WUB ; Rare (R1) ; Mark Poole ;  Legends
281 ; Lady Orca ; Summon Legend 7/4 ; 5BR ; Uncommon (U1) ; Sandra Everingham ;  Legends
282 ; Livonya Silone ; Summon Legend 4/4 ; 2RRGG ; Rare (R1) ; Richard Kane Ferguson ;  Legends
283 ; Lord Magnus ; Summon Legend 4/3 ; 3WWG ; Uncommon (U1) ; Mark Tedin ;  Legends
284 ; Marhault Elsdragon ; Summon Legend 4/6 ; 3RRG ; Uncommon (U1) ; Mark Poole ;  Legends
285 ; Nebuchadnezzar ; Summon Legend 3/3 ; 3UB ; Rare (R1) ; Richard Kane Ferguson ;  Legends
286 ; Nicol Bolas ; Summon Elder Dragon Legend 7/7 ; 2UUBBRR ; Rare (R1) ; Edward Beard, Jr. ;  Legends
287 ; Palladia-Mors ; Summon Elder Dragon Legend 7/7 ; 2WWRRGG ; Rare (R1) ; Edward Beard, Jr. ;  Legends
288 ; Pavel Maliki ; Summon Legend 5/3 ; 4BR ; Uncommon (U1) ; Andi Rusu ;  Legends
289 ; Princess Lucrezia ; Summon Legend 5/4 ; 3UUB ; Uncommon (U1) ; Edward Beard, Jr. ;  Legends
290 ; Ragnar ; Summon Legend 2/2 ; WUG ; Rare (R1) ; Melissa Benson ;  Legends
291 ; Ramirez DePietro ; Summon Legend 4/3 ; 3UBB ; Uncommon (U1) ; Phil Foglio ;  Legends
292 ; Ramses Overdark ; Summon Legend 4/3 ; 2UUBB ; Rare (R1) ; Richard Kane Ferguson ;  Legends
293 ; Rasputin Dreamweaver ; Summon Legend 4/1 ; 4WU ; Rare (R1) ; Andi Rusu ;  Legends
294 ; Riven Turnbull ; Summon Legend 5/7 ; 5UB ; Uncommon (U1) ; Richard Kane Ferguson ;  Legends
295 ; Rohgahh of Kher Keep ; Summon Legend 5/5 ; 2BBRR ; Rare (R1) ; Edward Beard, Jr. ;  Legends
296 ; Rubinia Soulsinger ; Summon Legend 2/3 ; 2WUG ; Rare (R1) ; Rob Alexander ;  Legends
297 ; Sir Shandlar of Eberyn ; Summon Legend 4/7 ; 4WG ; Uncommon (U1) ; Andi Rusu ;  Legends
298 ; Sivitri Scarzam ; Summon Legend 6/4 ; 5UB ; Uncommon (U1) ; NÈNÈ Thomas ;  Legends
299 ; Sol'kanar the Swamp King ; Summon Legend 5/5 ; 2UBR ; Rare (R1) ; Richard Kane Ferguson ;  Legends
300 ; Stangg ; Summon Legend 3/4 ; 4RG ; Rare (R1) ; Mark Poole ;  Legends
301 ; Sunastian Falconer ; Summon Legend 4/4 ; 3RG ; Uncommon (U1) ; Christopher Rush ;  Legends
302 ; Tetsuo Umezawa ; Summon Legend 3/3 ; UBR ; Rare (R1) ; Julie Baroh ;  Legends
303 ; The Lady of the Mountain ; Summon Legend 5/5 ; 4RG ; Uncommon (U1) ; Richard Kane Ferguson ;  Legends
304 ; Tobias Andrion ; Summon Legend 4/4 ; 3WU ; Uncommon (U1) ; Andi Rusu ;  Legends
305 ; Tor Wauki ; Summon Legend 3/3 ; 2BBR ; Uncommon (U1) ; Randy Asplund-Faith ;  Legends
306 ; Torsten Von Ursus ; Summon Legend 5/5 ; 3WGG ; Uncommon (U1) ; Mark Poole ;  Legends
307 ; Tuknir Deathlock ; Summon Legend 2/2 ; RRGG ; Rare (R1) ; Liz Danforth ;  Legends
308 ; Ur-Drago ; Summon Legend 4/4 ; 3UUBB ; Rare (R1) ; Christopher Rush ;  Legends
309 ; Vaevictis Asmadi ; Summon Elder Dragon Legend 7/7 ; 2BBRRGG ; Rare (R1) ; Andi Rusu ;  Legends
310 ; Xira Arien ; Summon Legend 1/2 ; BRG ; Rare (R1) ; Melissa Benson ;  Legends
