1 ; Aegis of Honor ; Enchantment ; W ; Rare ; Ron Spears ;  Odyssey
275 ; Still Life ; Enchantment ; 1GG ; Uncommon ; Matt Cavotta ;  Odyssey
276 ; Stone-Tongue Basilisk ; Creature - Basilisk 4/5 ; 4GGG ; Rare ; Wayne England ;  Odyssey
277 ; Sylvan Might ; Instant ; 1G ; Uncommon ; Arnie Swekel ;  Odyssey
278 ; Terravore ; Creature - Lhurgoyf */* ; 1GG ; Rare ; Jim Nelson ;  Odyssey
279 ; Twigwalker ; Creature - Insect 2/2 ; 2G ; Uncommon ; Carl Critchlow ;  Odyssey
280 ; Verdant Succession ; Enchantment ; 4G ; Rare ; Edward P. Beard, Jr. ;  Odyssey
281 ; Vivify ; Instant ; 2G ; Uncommon ; Greg Staples ;  Odyssey
282 ; Werebear ; Creature - Druid Bear 1/1 ; 1G ; Common ; Carl Critchlow ;  Odyssey
283 ; Wild Mongrel ; Creature - Hound 2/2 ; 1G ; Common ; Anthony S. Waters ;  Odyssey
284 ; Woodland Druid ; Creature - Druid 1/2 ; G ; Common ; Rick Farrell ;  Odyssey
285 ; Zoologist ; Creature - Druid 1/2 ; 3G ; Rare ; Alex Horley-Orlandelli ;  Odyssey
286 ; Atogatog ; Creature - Atog Legend 5/5 ; WUBRG ; Rare ; Ron Spears ;  Odyssey
287 ; Decimate ; Sorcery ; 2RG ; Rare ; Alex Horley-Orlandelli ;  Odyssey
288 ; Iridescent Angel ; Creature - Angel 4/4 ; 5WU ; Rare ; Matt Cavotta ;  Odyssey
289 ; Lithatog ; Creature - Atog 1/2 ; 1RG ; Uncommon ; Franz Vohwinkel ;  Odyssey
290 ; Mystic Enforcer ; Creature - Nomad Mystic 3/3 ; 2WG ; Rare ; Gary Ruddell ;  Odyssey
291 ; Phantatog ; Creature - Atog 1/2 ; 1WU ; Uncommon ; Glen Angus ;  Odyssey
292 ; Psychatog ; Creature - Atog 1/2 ; 1UB ; Uncommon ; Edward P. Beard, Jr. ;  Odyssey
293 ; Sarcatog ; Creature - Atog 1/2 ; 1BR ; Uncommon ; Mark Brill ;  Odyssey
294 ; Shadowmage Infiltrator ; Creature - Wizard 1/3 ; 1UB ; Rare ; Rick Farrell ;  Odyssey
295 ; Thaumatog ; Creature - Atog 1/2 ; 1WG ; Uncommon ; Monte Michael Moore ;  Odyssey
296 ; Vampiric Dragon ; Creature - Vampire Dragon 5/5 ; 6BR ; Rare ; Gary Ruddell ;  Odyssey
297 ; Catalyst Stone ; Artifact ; 2 ; Rare ; Tony Szczudlo ;  Odyssey
298 ; Charmed Pendant ; Artifact ; 4 ; Rare ; Anthony S. Waters ;  Odyssey
299 ; Darkwater Egg ; Artifact ; 1 ; Uncommon ; David Martin ;  Odyssey
300 ; Junk Golem ; Artifact Creature - Golem 0/0 ; 4 ; Rare ; Brian Snoddy ;  Odyssey
301 ; Limestone Golem ; Artifact Creature - Golem 3/4 ; 6 ; Uncommon ; Mark Tedin ;  Odyssey
302 ; Millikin ; Artifact Creature 0/1 ; 2 ; Uncommon ; Alex Horley-Orlandelli ;  Odyssey
303 ; Mirari ; Legendary Artifact ; 5 ; Rare ; Donato Giancola ;  Odyssey
304 ; Mossfire Egg ; Artifact ; 1 ; Uncommon ; David Martin ;  Odyssey
305 ; Otarian Juggernaut ; Artifact Creature 2/3 ; 4 ; Rare ; Brian Snoddy ;  Odyssey
306 ; Patchwork Gnomes ; Artifact Creature - Gnome 2/1 ; 3 ; Uncommon ; Jerry Tiritilli ;  Odyssey
307 ; Sandstone Deadfall ; Artifact ; 3 ; Uncommon ; Jim Nelson ;  Odyssey
308 ; Shadowblood Egg ; Artifact ; 1 ; Uncommon ; David Martin ;  Odyssey
309 ; Skycloud Egg ; Artifact ; 1 ; Uncommon ; David Martin ;  Odyssey
310 ; Steamclaw ; Artifact ; 2 ; Uncommon ; Jim Nelson ;  Odyssey
311 ; Sungrass Egg ; Artifact ; 1 ; Uncommon ; David Martin ;  Odyssey
312 ; Abandoned Outpost ; Land ; ; Common ; Edward P. Beard, Jr. ;  Odyssey
313 ; Barbarian Ring ; Land ; ; Uncommon ; John Avon ;  Odyssey
314 ; Bog Wreckage ; Land ; ; Common ; Brian Snoddy ;  Odyssey
315 ; Cabal Pit ; Land ; ; Uncommon ; John Avon ;  Odyssey
316 ; Centaur Garden ; Land ; ; Uncommon ; John Avon ;  Odyssey
317 ; Cephalid Coliseum ; Land ; ; Uncommon ; John Avon ;  Odyssey
318 ; Crystal Quarry ; Land ; ; Rare ; Alan Pollack ;  Odyssey
319 ; Darkwater Catacombs ; Land ; ; Rare ; Monte Michael Moore ;  Odyssey
320 ; Deserted Temple ; Land ; ; Rare ; Rob Alexander ;  Odyssey
321 ; Mossfire Valley ; Land ; ; Rare ; John Avon ;  Odyssey
322 ; Nomad Stadium ; Land ; ; Uncommon ; David Martin ;  Odyssey
323 ; Petrified Field ; Land ; ; Rare ; Glen Angus ;  Odyssey
324 ; Ravaged Highlands ; Land ; ; Common ; David Martin ;  Odyssey
325 ; Seafloor Debris ; Land ; ; Common ; Larry Elmore ;  Odyssey
326 ; Shadowblood Ridge ; Land ; ; Rare ; Glen Angus ;  Odyssey
327 ; Skycloud Expanse ; Land ; ; Rare ; Rob Alexander ;  Odyssey
328 ; Sungrass Prairie ; Land ; ; Rare ; Ron Spencer ;  Odyssey
329 ; Tarnished Citadel ; Land ; ; Rare ; David Martin ;  Odyssey
330 ; Timberland Ruins ; Land ; ; Common ; Alan Pollack ;  Odyssey
331 ; Plains ; Land ; ; Land ; Alan Pollack ;  Odyssey
332 ; Plains ; Land ; ; Land ; Don Hazeltine ;  Odyssey
333 ; Plains ; Land ; ; Land ; Eric Peterson ;  Odyssey
334 ; Plains ; Land ; ; Land ; Rob Alexander ;  Odyssey
335 ; Island ; Land ; ; Land ; Alan Pollack ;  Odyssey
336 ; Island ; Land ; ; Land ; Ben Thompson ;  Odyssey
337 ; Island ; Land ; ; Land ; Larry Elmore ;  Odyssey
338 ; Island ; Land ; ; Land ; Rob Alexander ;  Odyssey
339 ; Swamp ; Land ; ; Land ; Jerry Tiritilli ;  Odyssey
340 ; Swamp ; Land ; ; Land ; Arnie Swekel ;  Odyssey
341 ; Swamp ; Land ; ; Land ; Rob Alexander ;  Odyssey
342 ; Swamp ; Land ; ; Land ; Alan Pollack ;  Odyssey
343 ; Mountain ; Land ; ; Land ; Anthony S. Waters ;  Odyssey
344 ; Mountain ; Land ; ; Land ; Franz Vohwinkel ;  Odyssey
345 ; Mountain ; Land ; ; Land ; Rob Alexander ;  Odyssey
346 ; Mountain ; Land ; ; Land ; Tony Szczudlo ;  Odyssey
347 ; Forest ; Land ; ; Land ; Larry Elmore ;  Odyssey
348 ; Forest ; Land ; ; Land ; Rob Alexander ;  Odyssey
349 ; Forest ; Land ; ; Land ; Jerry Tiritilli ;  Odyssey
350 ; Forest ; Land ; ; Land ; Tony Szczudlo ;  Odyssey
