1 ; Disenchant ; (Missing!) ; 1W ; Special ; Brian Snoddy ;  Coldsnap Theme Decks
43 ; Manta Riders ; Creature - Merfolk 1/1 ; U ; Special ; Kaja Foglio ;  Battle Royale Box Set
44 ; Master Decoy ; Creature - Soldier 1/2 ; 1W ; Special ; Phil Foglio ;  Battle Royale Box Set
45 ; Mogg Hollows ; Land ; ; Special ; Jeff Laubenstein ;  Battle Royale Box Set
46 ; Nekrataal ; Creature - Nekrataal 2/1 ; 2BB ; Special ; Adrian Smith ;  Battle Royale Box Set
47 ; Opportunity ; Instant ; 4UU ; Special ; Ron Spears ;  Battle Royale Box Set
48 ; Pacifism ; Enchant Creature ; 1W ; Special ; Robert Bliss ;  Battle Royale Box Set
49 ; Pestilence ; Enchantment ; 2BB ; Special ; Pete Venters ;  Battle Royale Box Set
50 ; Phyrexian Ghoul ; Creature - Zombie 2/2 ; 2B ; Special ; Pete Venters ;  Battle Royale Box Set
51 ; Pincher Beetles ; Creature - Insect 3/1 ; 2G ; Special ; Stephen Daniele ;  Battle Royale Box Set
52 ; Plated Rootwalla ; Creature - Lizard 3/3 ; 4G ; Special ; Randy Elliott ;  Battle Royale Box Set
53 ; Polluted Mire ; Land ; ; Special ; Stephen Daniele ;  Battle Royale Box Set
54 ; Prodigal Sorcerer ; Creature - Wizard 1/1 ; 2U ; Special ; Douglas Shuler ;  Battle Royale Box Set
55 ; Raging Goblin ; Creature - Goblin 1/1 ; R ; Special ; Jeff Miracola ;  Battle Royale Box Set
56 ; Ray of Command ; Instant ; 3U ; Special ; Andrew Robinson ;  Battle Royale Box Set
57 ; Reanimate ; Sorcery ; B ; Special ; Robert Bliss ;  Battle Royale Box Set
58 ; Remote Isle ; Land ; ; Special ; Ciruelo ;  Battle Royale Box Set
59 ; River Boa ; Creature - Snake 2/1 ; 1G ; Special ; Steve White ;  Battle Royale Box Set
60 ; Rolling Thunder ; Sorcery ; XRR ; Special ; Richard Thomas ;  Battle Royale Box Set
61 ; Sadistic Glee ; Enchant Creature ; B ; Special ; Pete Venters ;  Battle Royale Box Set
62 ; Sanctum Custodian ; Creature - Cleric 1/2 ; 2W ; Special ; Paolo Parente ;  Battle Royale Box Set
63 ; Sanctum Guardian ; Creature - Soldier 1/4 ; 1WW ; Special ; Donato Giancola ;  Battle Royale Box Set
64 ; Sandstorm ; Instant ; G ; Special ; Brian Snoddy ;  Battle Royale Box Set
65 ; Scaled Wurm ; Creature - Wurm 7/6 ; 7G ; Special ; Daniel Gelon ;  Battle Royale Box Set
66 ; Scryb Sprites ; Creature - Faerie 1/1 ; G ; Special ; Amy Weber ;  Battle Royale Box Set
67 ; Seasoned Marshal ; Creature - Soldier 2/2 ; 2WW ; Special ; Matthew D. Wilson ;  Battle Royale Box Set
68 ; Seeker of Skybreak ; Creature - Elf 2/1 ; 1G ; Special ; Daren Bader ;  Battle Royale Box Set
69 ; Sengir Vampire ; Creature - Vampire 4/4 ; 3BB ; Special ; Anson Maddocks ;  Battle Royale Box Set
70 ; Sewer Rats ; Creature - Rat 1/1 ; B ; Special ; Martin McKenna ;  Battle Royale Box Set
71 ; Shower of Sparks ; Instant ; R ; Special ; Christopher Moeller ;  Battle Royale Box Set
72 ; Skyshroud Elite ; Creature - Elf 1/1 ; G ; Special ; Paolo Parente ;  Battle Royale Box Set
73 ; Slippery Karst ; Land ; ; Special ; Stephen Daniele ;  Battle Royale Box Set
74 ; Soltari Foot Soldier ; Creature - Soldier 1/1 ; W ; Special ; Janet Aulisio ;  Battle Royale Box Set
75 ; Songstitcher ; Creature - Cleric 1/1 ; W ; Special ; Berry ;  Battle Royale Box Set
76 ; Soul Warden ; Creature - Cleric 1/1 ; W ; Special ; Randy Gallegos ;  Battle Royale Box Set
77 ; Spike Colony ; Creature - Spike 0/0 ; 4G ; Special ; Douglas Shuler ;  Battle Royale Box Set
78 ; Spike Feeder ; Creature - Spike 0/0 ; 1GG ; Special ; Heather Hudson ;  Battle Royale Box Set
79 ; Spike Weaver ; Creature - Spike 0/0 ; 2GG ; Special ; Mike Raabe ;  Battle Royale Box Set
80 ; Spike Worker ; Creature - Spike 0/0 ; 2G ; Special ; Daniel Gelon ;  Battle Royale Box Set
81 ; Steam Blast ; Sorcery ; 2R ; Special ; Mike Raabe ;  Battle Royale Box Set
82 ; Subversion ; Enchantment ; 3BB ; Special ; Rob Alexander ;  Battle Royale Box Set
83 ; Sun Clasp ; Enchant Creature ; 1W ; Special ; John Coulthart ;  Battle Royale Box Set
84 ; Swords to Plowshares ; Instant ; W ; Special ; Jeff A. Menges ;  Battle Royale Box Set
85 ; Symbiosis ; Instant ; 1G ; Special ; Jeff Miracola ;  Battle Royale Box Set
86 ; Syphon Soul ; Sorcery ; 2B ; Special ; Melissa A. Benson ;  Battle Royale Box Set
87 ; Terror ; Instant ; 1B ; Special ; Ron Spencer ;  Battle Royale Box Set
88 ; Thalakos Lowlands ; Land ; ; Special ; Jeff A. Menges ;  Battle Royale Box Set
89 ; Tranquility ; Sorcery ; 2G ; Special ; Douglas Shuler ;  Battle Royale Box Set
90 ; Trumpeting Armodon ; Creature - Elephant 3/3 ; 3G ; Special ; Gary Leach ;  Battle Royale Box Set
91 ; Unnerve ; Sorcery ; 3B ; Special ; Terese Nielsen ;  Battle Royale Box Set
92 ; Uthden Troll ; Creature - Troll 2/2 ; 2R ; Special ; Douglas Shuler ;  Battle Royale Box Set
93 ; Vec Townships ; Land ; ; Special ; Eric David Anderson ;  Battle Royale Box Set
94 ; Village Elder ; Creature - Druid 1/1 ; G ; Special ; Donato Giancola ;  Battle Royale Box Set
95 ; Wall of Heat ; Creature - Wall 2/6 ; 2R ; Special ; Richard Thomas ;  Battle Royale Box Set
96 ; Weakness ; Enchant Creature ; B ; Special ; Kev Walker ;  Battle Royale Box Set
97 ; Wildfire Emissary ; Creature - Efreet 2/4 ; 3R ; Special ; Richard Kane Ferguson ;  Battle Royale Box Set
98 ; Wind Drake ; Creature - Drake 2/2 ; 2U ; Special ; Zina Saunders ;  Battle Royale Box Set
99 ; Windfall ; Sorcery ; 2U ; Special ; Pete Venters ;  Battle Royale Box Set
100 ; Wrath of God ; Sorcery ; 2WW ; Special ; Quinton Hoover ;  Battle Royale Box Set
101 ; Forest ; Land ; ; Special ; John Avon ;  Battle Royale Box Set
102 ; Forest ; (Missing!) ; ; Special ; David O'Connor ;  Battle Royale Box Set
103 ; Forest ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
104 ; Forest ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
105 ; Forest ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
106 ; Forest ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
107 ; Forest ; (Missing!) ; ; Special ; Ji Yong ;  Battle Royale Box Set
108 ; Forest ; (Missing!) ; ; Special ; Ji Yong ;  Battle Royale Box Set
109 ; Forest ; (Missing!) ; ; Special ; Ji Yong ;  Battle Royale Box Set
110 ; Island ; Land ; ; Special ; Donato Giancola ;  Battle Royale Box Set
111 ; Island ; (Missing!) ; ; Special ; Donato Giancola ;  Battle Royale Box Set
112 ; Island ; (Missing!) ; ; Special ; Ku Xueming ;  Battle Royale Box Set
113 ; Island ; (Missing!) ; ; Special ; Ku Xueming ;  Battle Royale Box Set
114 ; Island ; (Missing!) ; ; Special ; Ku Xueming ;  Battle Royale Box Set
115 ; Mountain ; Land ; ; Special ; John Avon ;  Battle Royale Box Set
116 ; Mountain ; (Missing!) ; ; Special ; Mark Poole ;  Battle Royale Box Set
117 ; Mountain ; (Missing!) ; ; Special ; Mark Poole ;  Battle Royale Box Set
118 ; Mountain ; (Missing!) ; ; Special ; Rob Alexander ;  Battle Royale Box Set
119 ; Mountain ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
120 ; Mountain ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
121 ; Mountain ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
122 ; Mountain ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
123 ; Mountain ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
124 ; Plains ; Land ; ; Special ; Douglas Shuler ;  Battle Royale Box Set
125 ; Plains ; (Missing!) ; ; Special ; Pat Morrissey ;  Battle Royale Box Set
126 ; Plains ; (Missing!) ; ; Special ; Pat Morrissey ;  Battle Royale Box Set
127 ; Plains ; (Missing!) ; ; Special ; Douglas Shuler ;  Battle Royale Box Set
128 ; Plains ; (Missing!) ; ; Special ; Douglas Shuler ;  Battle Royale Box Set
129 ; Plains ; (Missing!) ; ; Special ; Douglas Shuler ;  Battle Royale Box Set
130 ; Plains ; (Missing!) ; ; Special ; He Jiancheng ;  Battle Royale Box Set
131 ; Plains ; (Missing!) ; ; Special ; He Jiancheng ;  Battle Royale Box Set
132 ; Plains ; (Missing!) ; ; Special ; He Jiancheng ;  Battle Royale Box Set
133 ; Swamp ; Land ; ; Special ; John Avon ;  Battle Royale Box Set
134 ; Swamp ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
135 ; Swamp ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
136 ; Swamp ; (Missing!) ; ; Special ; John Avon ;  Battle Royale Box Set
1 ; Nevinyrral's Disk ; Artifact ; 4 ; Special ; Mark Tedin ;  Anthologies
2 ; Goblin King ; Summon Lord 2/2 ; 1RR ; Special ; Jesper Myrfors ;  Anthologies
3 ; Goblin Warrens ; Enchantment ; 2R ; Special ; Dan Frazier ;  Anthologies
4 ; Volcanic Dragon ; Summon Dragon 4/4 ; 4RR ; Special ; Janine Johnston ;  Anthologies
5 ; Strip Mine ; Land ; ; Special ; Daniel Gelon ;  Anthologies
6 ; Lady Orca ; Summon Legend 7/4 ; 5BR ; Special ; Sandra Everingham ;  Anthologies
7 ; Black Knight ; Summon Knight 2/2 ; BB ; Special ; Adrian Smith ;  Anthologies
8 ; Hypnotic Specter ; Summon Specter 2/2 ; 1BB ; Special ; Douglas Shuler ;  Anthologies
9 ; Knight of Stromgald ; Summon Knight 2/1 ; BB ; Special ; Mark Poole ;  Anthologies
10 ; Ihsan's Shade ; Summon Legend 5/5 ; 3BBB ; Special ; Christopher Rush ;  Anthologies
11 ; Goblin Balloon Brigade ; Summon Goblins 1/1 ; R ; Special ; Andi Rusu ;  Anthologies
12 ; Goblin Mutant ; Summon Goblin 5/3 ; 2RR ; Special ; Daniel Gelon ;  Anthologies
13 ; Goblin Offensive ; Sorcery ; X1RR ; Special ; Carl Critchlow ;  Anthologies
14 ; Goblin Recruiter ; Summon Goblin 1/1 ; 1R ; Special ; Scott Kirschner ;  Anthologies
15 ; Goblin Snowman ; Summon Goblins 1/1 ; 3R ; Special ; Daniel Gelon ;  Anthologies
16 ; Pyrokinesis ; Instant ; 4RR ; Special ; Ron Spencer ;  Anthologies
17 ; Uthden Troll ; Summon Troll 2/2 ; 2R ; Special ; Douglas Shuler ;  Anthologies
19 ; Aesthir Glider ; Artifact Creature 2/1 ; 3 ; Special ; Ruth Thompson ;  Anthologies
20 ; Polluted Mire ; Land ; ; Special ; Stephen Daniele ;  Anthologies
21 ; Smoldering Crater ; Land ; ; Special ; Mark Tedin ;  Anthologies
22 ; Cuombajj Witches ; Summon Witches 1/3 ; BB ; Special ; Kaja Foglio ;  Anthologies
23 ; Feast of the Unicorn ; Enchant Creature ; 3B ; Special ; Dennis Detwiller ;  Anthologies
24 ; Hymn to Tourach ; Sorcery ; BB ; Special ; Liz Danforth ;  Anthologies
25 ; Terror ; Instant ; 1B ; Special ; Ron Spencer ;  Anthologies
26 ; Unholy Strength ; Enchant Creature ; B ; Special ; Douglas Shuler ;  Anthologies
27 ; Fireball ; Sorcery ; XR ; Special ; Mark Tedin ;  Anthologies
28 ; Goblin Digging Team ; Summon Goblins 1/1 ; R ; Special ; Phil Foglio ;  Anthologies
29 ; Goblin Grenade ; Sorcery ; R ; Special ; Ron Spencer ;  Anthologies
30 ; Goblin Hero ; Summon Goblin 2/2 ; 2R ; Special ; Pete Venters ;  Anthologies
31 ; Goblin Matron ; Summon Goblin 1/1 ; 2R ; Special ; Daniel Gelon ;  Anthologies
32 ; Goblin Tinkerer ; Summon Goblin 1/2 ; 1R ; Special ; Hannibal King ;  Anthologies
33 ; Goblin Vandal ; Summon Goblin 1/1 ; R ; Special ; Franz Vohwinkel ;  Anthologies
34 ; Lightning Bolt ; Instant ; R ; Special ; Christopher Rush ;  Anthologies
35 ; Mogg Fanatic ; Summon Goblin 1/1 ; R ; Special ; Brom ;  Anthologies
36 ; Mogg Flunkies ; Summon Goblins 3/3 ; 1R ; Special ; Brom ;  Anthologies
37 ; Mogg Raider ; Summon Goblin 1/1 ; R ; Special ; Brian Snoddy ;  Anthologies
38 ; Pyrotechnics ; Sorcery ; 4R ; Special ; Anson Maddocks ;  Anthologies
39 ; Raging Goblin ; Summon Goblin 1/1 ; R ; Special ; Brian Snoddy ;  Anthologies
40 ; Mountain ; Land ; ; Land ; Douglas Shuler ;  Anthologies
41 ; Mountain ; Land ; ; Land ; John Avon ;  Anthologies
42 ; Swamp ; Land ; ; Land ; Douglas Shuler ;  Anthologies
43 ; Swamp ; Land ; ; Land ; Brom ;  Anthologies
44 ; Brushland ; Land ; ; Special ; Bryon Wackwitz ;  Anthologies
45 ; Mirri, Cat Warrior ; Summon Legend 2/3 ; 1GG ; Special ; Daren Bader ;  Anthologies
46 ; Armageddon ; Sorcery ; 3W ; Special ; Jesper Myrfors ;  Anthologies
47 ; Sacred Mesa ; Enchantment ; 2W ; Special ; Margaret Organ-Kean ;  Anthologies
48 ; Pendelhaven ; Legendary Land ; ; Special ; Bryon Wackwitz ;  Anthologies
49 ; Jalum Tome ; Artifact ; 3 ; Special ; Tom W‰nerstrand ;  Anthologies
50 ; Ranger en-Vec ; Summon Soldier 2/2 ; 1WG ; Special ; Randy Elliott ;  Anthologies
51 ; Erhnam Djinn ; Summon Djinn 4/5 ; 3G ; Special ; Ken Meyer, Jr. ;  Anthologies
52 ; Hurricane ; Sorcery ; XG ; Special ; Cornelius Brudi ;  Anthologies
53 ; Spectral Bears ; Summon Bears 3/3 ; 1G ; Special ; Pat Morrissey ;  Anthologies
54 ; Overrun ; Sorcery ; 2GGG ; Special ; Jeff Miracola ;  Anthologies
55 ; Order of the White Shield ; Summon Knight 2/1 ; WW ; Special ; Ruth Thompson ;  Anthologies
56 ; Pegasus Charger ; Summon Pegasus 2/1 ; 2W ; Special ; Val Mayerik ;  Anthologies
57 ; Serra Angel ; Summon Angel 4/4 ; 3WW ; Special ; Douglas Shuler ;  Anthologies
58 ; Swords to Plowshares ; Instant ; W ; Special ; Jeff A. Menges ;  Anthologies
59 ; White Knight ; Summon Knight 2/2 ; WW ; Special ; Daniel Gelon ;  Anthologies
60 ; Pegasus Stampede ; Sorcery ; 1W ; Special ; Mark Zug ;  Anthologies
61 ; Drifting Meadow ; Land ; ; Special ; Bob Eggleton ;  Anthologies
62 ; Slippery Karst ; Land ; ; Special ; Stephen Daniele ;  Anthologies
63 ; Serrated Arrows ; Artifact ; 4 ; Special ; David A. Cherry ;  Anthologies
64 ; Canopy Spider ; Summon Spider 1/3 ; 1G ; Special ; Christopher Rush ;  Anthologies
65 ; Carnivorous Plant ; Summon Wall 4/5 ; 3G ; Special ; Quinton Hoover ;  Anthologies
66 ; Giant Growth ; Instant ; G ; Special ; Sandra Everingham ;  Anthologies
67 ; Giant Spider ; Summon Spider 2/4 ; 3G ; Special ; Sandra Everingham ;  Anthologies
68 ; Gorilla Chieftain ; Summon Gorilla 3/3 ; 2GG ; Special ; Quinton Hoover ;  Anthologies
69 ; Llanowar Elves ; Summon Elves 1/1 ; G ; Special ; Anson Maddocks ;  Anthologies
70 ; Scavenger Folk ; Summon Scavenger Folk 1/1 ; G ; Special ; Dennis Detwiller ;  Anthologies
71 ; Woolly Spider ; Summon Spider 2/3 ; 1GG ; Special ; Daniel Gelon ;  Anthologies
72 ; Armored Pegasus ; Creature - Pegasus 1/2 ; 1W ; Special ; Andrew Robinson ;  Anthologies
73 ; Benalish Knight ; Summon Knight 2/2 ; 2W ; Special ; Zina Saunders ;  Anthologies
74 ; Combat Medic ; Summon Soldier 0/2 ; 2W ; Special ; Liz Danforth ;  Anthologies
75 ; Disenchant ; Instant ; 1W ; Special ; Amy Weber ;  Anthologies
76 ; Freewind Falcon ; Summon Falcon 1/1 ; 1W ; Special ; Una Fricker ;  Anthologies
77 ; Icatian Javelineers ; Summon Soldiers 1/1 ; W ; Special ; Edward P. Beard, Jr. ;  Anthologies
78 ; Infantry Veteran ; Summon Soldier 1/1 ; W ; Special ; Christopher Rush ;  Anthologies
79 ; Pacifism ; Enchant Creature ; 1W ; Special ; Robert Bliss ;  Anthologies
81 ; Samite Healer ; Summon Cleric 1/1 ; 1W ; Special ; Tom W‰nerstrand ;  Anthologies
82 ; Warrior's Honor ; Instant ; 2W ; Special ; D. Alexander Gregory ;  Anthologies
83 ; Youthful Knight ; Summon Knight 2/1 ; 1W ; Special ; Rebecca Guay ;  Anthologies
84 ; Forest ; Land ; ; Land ; Quinton Hoover ;  Anthologies
85 ; Forest ; Land ; ; Land ; Tony Roberts ;  Anthologies
86 ; Plains ; Land ; ; Land ; Tom W‰nerstrand ;  Anthologies
87 ; Plains ; Land ; ; Land ; Douglas Shuler ;  Anthologies
1 ; Bull Elephant ; Summon Elephant 4/4 ; 3G ; Special ; Steven White ;  Multiverse Gift Box Cards
2 ; Dark Privilege ; Enchant Creature ; 1B ; Special ; Tom Kyffin ;  Multiverse Gift Box Cards
3 ; King Cheetah ; Creature - Cat 3/2 ; 3G ; Special ; Terese Nielsen ;  Multiverse Gift Box Cards
4 ; Necrosavant ; Summon Necrosavant 5/5 ; 3BBB ; Special ; John Coulthart ;  Multiverse Gift Box Cards
5 ; Ovinomancer ; Creature ó Human Wizard 0/1 ; 2U ; Special ; Kevin Walker ;  Multiverse Gift Box Cards
6 ; Peace Talks ; Sorcery ; 1W ; Special ; Roger Raupp ;  Multiverse Gift Box Cards
7 ; Urborg Mindsucker ; Summon Mindsucker 2/2 ; 2B ; Special ; Tony Diterlizzi ;  Multiverse Gift Box Cards
8 ; Vampirism ; Enchant Creature ; 1B ; Special ; Gary Leach ;  Multiverse Gift Box Cards
9 ; Viashino Sandstalker ; Creature - Viashino Warrior 4/2 ; 1RR ; Special ; Andrew Robinson ;  Multiverse Gift Box Cards
10 ; Wicked Reward ; Instant ; 1B ; Special ; D. Alexander Gregory ;  Multiverse Gift Box Cards
