1 ; Grim Lavamancer ; Creature - Human Wizard 1/1 ; R ; Rare ; Michael Sutfin ;  Premium Deck Series: Fire and Lightning
96 ; Wall of Spears ; Artifact Creature - Wall 2/3 ; 3 ; Common ; Christopher Moeller ;  Duels of the Planeswalkers
97 ; Wurm's Tooth ; Artifact ; 2 ; Uncommon ; Alan Pollack ;  Duels of the Planeswalkers
98 ; Island ; Basic Land - Island ; ; Land ; Rob Alexander ;  Duels of the Planeswalkers
99 ; Island ; Basic Land - Island ; ; Land ; John Avon ;  Duels of the Planeswalkers
100 ; Island ; Basic Land - Island ; ; Land ; Scott Bailey ;  Duels of the Planeswalkers
101 ; Island ; Basic Land - Island ; ; Land ; Fred Fields ;  Duels of the Planeswalkers
102 ; Swamp ; Basic Land - Swamp ; ; Land ; Dan Frazier ;  Duels of the Planeswalkers
103 ; Swamp ; Basic Land - Swamp ; ; Land ; Alex Horley-Orlandelli ;  Duels of the Planeswalkers
104 ; Swamp ; Basic Land - Swamp ; ; Land ; Jim Pavelec ;  Duels of the Planeswalkers
105 ; Swamp ; Basic Land - Swamp ; ; Land ; Alan Pollack ;  Duels of the Planeswalkers
106 ; Mountain ; Basic Land - Mountain ; ; Land ; Rob Alexander ;  Duels of the Planeswalkers
107 ; Mountain ; Basic Land - Mountain ; ; Land ; Nils Hamm ;  Duels of the Planeswalkers
108 ; Mountain ; Basic Land - Mountain ; ; Land ; Karl Kopinski ;  Duels of the Planeswalkers
109 ; Mountain ; Basic Land - Mountain ; ; Land ; Sam Wood ;  Duels of the Planeswalkers
110 ; Forest ; Basic Land - Forest ; ; Land ; Glen Angus ;  Duels of the Planeswalkers
111 ; Forest ; Basic Land - Forest ; ; Land ; John Avon ;  Duels of the Planeswalkers
112 ; Forest ; Basic Land - Forest ; ; Land ; Steve Belledin ;  Duels of the Planeswalkers
113 ; Forest ; Basic Land - Forest ; ; Land ; Jim Nelson ;  Duels of the Planeswalkers
1 ; Leonin Abunas ; Creature - Cat Cleric 2/5 ; 3W ; Rare ; Darrell Riche ;  Archenemy
2 ; Metallurgeon ; Artifact Creature - Human Artificer 1/2 ; 1W ; Uncommon ; Warren Mahy ;  Archenemy
3 ; Oblivion Ring ; Enchantment ; 2W ; Common ; Franz Vohwinkel ;  Archenemy
4 ; Path to Exile ; Instant ; W ; Uncommon ; Todd Lockwood ;  Archenemy
5 ; Sanctum Gargoyle ; Artifact Creature - Gargoyle 2/3 ; 3W ; Common ; Shelly Wan ;  Archenemy
6 ; March of the Machines ; Enchantment ; 3U ; Rare ; Ben Thompson ;  Archenemy
7 ; Master Transmuter ; Artifact Creature - Human Artificer 1/2 ; 3U ; Rare ; Chippy ;  Archenemy
8 ; Spin into Myth ; Instant ; 4U ; Uncommon ; David Day ;  Archenemy
9 ; Avatar of Woe ; Creature - Avatar 6/5 ; 6BB ; Rare ; rk post ;  Archenemy
10 ; Beacon of Unrest ; Sorcery ; 3BB ; Rare ; Allan Pollack ;  Archenemy
11 ; Bog Witch ; Creature - Human Spellshaper 1/1 ; 2B ; Common ; Gao Yan ;  Archenemy
12 ; Cemetery Reaper ; Creature - Zombie 2/2 ; 1BB ; Rare ; Dave Allsop ;  Archenemy
13 ; Corpse Connoisseur ; Creature - Zombie Wizard 3/3 ; 4B ; Uncommon ; Mark Hyzer ;  Archenemy
14 ; Dregscape Zombie ; Creature - Zombie 2/1 ; 1B ; Common ; Lars Grant-West ;  Archenemy
15 ; Extractor Demon ; Creature - Demon 5/5 ; 4BB ; Rare ; Carl Critchlow ;  Archenemy
16 ; Festering Goblin ; Creature - Zombie Goblin 1/1 ; B ; Common ; Thomas M. Baxa ;  Archenemy
17 ; Incremental Blight ; Sorcery ; 3BB ; Uncommon ; Chuck Lukacs ;  Archenemy
18 ; Infectious Horror ; Creature - Zombie Horror 2/2 ; 3B ; Common ; Pete Venters ;  Archenemy
19 ; Infest ; Sorcery ; 1BB ; Uncommon ; Karl Kopinski ;  Archenemy
20 ; Makeshift Mannequin ; Instant ; 3B ; Uncommon ; Darrell Riche ;  Archenemy
21 ; Reanimate ; Sorcery ; B ; Uncommon ; Robert Bliss ;  Archenemy
22 ; Reassembling Skeleton ; Creature - Skeleton Warrior 1/1 ; 1B ; Uncommon ; Austin Hsu ;  Archenemy
23 ; Scion of Darkness ; Creature - Avatar 6/6 ; 5BBB ; Rare ; Mark Zug ;  Archenemy
24 ; Shriekmaw ; Creature - Elemental 3/2 ; 4B ; Uncommon ; Steve Prescott ;  Archenemy
25 ; Sign in Blood ; Sorcery ; BB ; Common ; Howard Lyon ;  Archenemy
26 ; Twisted Abomination ; Creature - Zombie Mutant 5/3 ; 5B ; Common ; Daren Bader ;  Archenemy
27 ; Urborg Syphon-Mage ; Creature - Human Spellshaper 2/2 ; 2B ; Common ; Greg Staples ;  Archenemy
28 ; Zombie Infestation ; Enchantment ; 1B ; Uncommon ; Thomas M. Baxa ;  Archenemy
29 ; Zombify ; Sorcery ; 3B ; Uncommon ; Mark Romanoski ;  Archenemy
30 ; Battering Craghorn ; Creature - Goat Beast 3/1 ; 2RR ; Common ; Matt Cavotta ;  Archenemy
31 ; Breath of Darigaaz ; Sorcery ; 1R ; Uncommon ; Greg & Tim Hildebrandt ;  Archenemy
32 ; Chandra's Outrage ; Instant ; 2RR ; Common ; Christopher Moeller ;  Archenemy
33 ; Dragon Breath ; Enchantment - Aura ; 1R ; Common ; Greg Staples ;  Archenemy
34 ; Dragon Fodder ; Sorcery ; 1R ; Common ; Jaime Jones ;  Archenemy
35 ; Dragon Whelp ; Creature - Dragon 2/3 ; 2RR ; Uncommon ; Steven Belledin ;  Archenemy
36 ; Dragonspeaker Shaman ; Creature - Human Barbarian Shaman 2/2 ; 1RR ; Uncommon ; Kev Walker ;  Archenemy
37 ; Fireball ; Sorcery ; XR ; Uncommon ; Dave Dorman ;  Archenemy
38 ; Flameblast Dragon ; Creature - Dragon 5/5 ; 4RR ; Rare ; Jaime Jones ;  Archenemy
39 ; Furnace Whelp ; Creature - Dragon 2/2 ; 2RR ; Uncommon ; Matt Cavotta ;  Archenemy
40 ; Gathan Raiders ; Creature - Human Warrior 3/3 ; 3RR ; Common ; Parente ;  Archenemy
41 ; Hellkite Charger ; Creature - Dragon 5/5 ; 4RR ; Rare ; Jaime Jones ;  Archenemy
42 ; Imperial Hellkite ; Creature - Dragon 6/6 ; 5RR ; Rare ; Matt Cavotta ;  Archenemy
43 ; Inferno Trap ; Instant - Trap ; 3R ; Uncommon ; Philip Straub ;  Archenemy
44 ; Kilnmouth Dragon ; Creature - Dragon 5/5 ; 5RR ; Rare ; Carl Critchlow ;  Archenemy
45 ; Ryusei, the Falling Star ; Legendary Creature - Dragon Spirit 5/5 ; 5R ; Rare ; Nottsuo ;  Archenemy
46 ; Seething Song ; Instant ; 2R ; Common ; Martina Pilcerova ;  Archenemy
47 ; Skirk Commando ; Creature - Goblin 2/1 ; 1RR ; Common ; Dave Dorman ;  Archenemy
48 ; Skirk Marauder ; Creature - Goblin 2/1 ; 1R ; Common ; Pete Venters ;  Archenemy
49 ; Taurean Mauler ; Creature - Shapeshifter 2/2 ; 2R ; Rare ; Dominick Domingo ;  Archenemy
50 ; Two-Headed Dragon ; Creature - Dragon 4/4 ; 4RR ; Rare ; Sam Wood ;  Archenemy
51 ; Volcanic Fallout ; Instant ; 1RR ; Uncommon ; Zoltan Boros & Gabor Szikszai ;  Archenemy
52 ; Chameleon Colossus ; Creature - Shapeshifter 4/4 ; 2GG ; Rare ; Darrell Riche ;  Archenemy
53 ; Feral Hydra ; Creature - Hydra Beast 0/0 ; XG ; Rare ; Steve Prescott ;  Archenemy
54 ; Fertilid ; Creature - Elemental 0/0 ; 2G ; Common ; Wayne Reynolds ;  Archenemy
55 ; Fierce Empath ; Creature - Elf 1/1 ; 2G ; Common ; Alan Pollack ;  Archenemy
56 ; Fog ; Instant ; G ; Common ; John Avon ;  Archenemy
57 ; Forgotten Ancient ; Creature - Elemental 0/3 ; 3G ; Rare ; Mark Tedin ;  Archenemy
58 ; Gleeful Sabotage ; Sorcery ; 1G ; Common ; Todd Lockwood ;  Archenemy
59 ; Harmonize ; Sorcery ; 2GG ; Uncommon ; Paul Lee ;  Archenemy
60 ; Hunting Moa ; Creature - Bird Beast 3/2 ; 2G ; Uncommon ; DiTerlizzi ;  Archenemy
61 ; Kamahl, Fist of Krosa ; Legendary Creature - Human Druid 4/3 ; 4GG ; Rare ; Matthew D. Wilson ;  Archenemy
62 ; Krosan Tusker ; Creature - Boar Beast 6/5 ; 5GG ; Common ; Kev Walker ;  Archenemy
63 ; Leaf Gilder ; Creature - Elf Druid 2/1 ; 1G ; Common ; Quinton Hoover ;  Archenemy
64 ; Molimo, Maro-Sorcerer ; Legendary Creature - Elemental */* ; 4GGG ; Rare ; Mark Zug ;  Archenemy
65 ; Plummet ; Instant ; 1G ; Common ; Pete Venters ;  Archenemy
66 ; Primal Command ; Sorcery ; 3GG ; Rare ; Wayne England ;  Archenemy
67 ; Rancor ; Enchantment - Aura ; G ; Common ; Kev Walker ;  Archenemy
68 ; Sakura-Tribe Elder ; Creature - Snake Shaman 1/1 ; 1G ; Common ; Carl Critchlow ;  Archenemy
69 ; Shinen of Life's Roar ; Creature - Spirit 1/2 ; 1G ; Common ; Matt Cavotta ;  Archenemy
70 ; Spider Umbra ; Enchantment - Aura ; G ; Common ; Christopher Moeller ;  Archenemy
71 ; Thelonite Hermit ; Creature - Elf Shaman 1/1 ; 3G ; Rare ; Chippy ;  Archenemy
72 ; Verdeloth the Ancient ; Legendary Creature - Treefolk 4/7 ; 4GG ; Rare ; Daren Bader ;  Archenemy
73 ; Wall of Roots ; Creature - Plant Wall 0/5 ; 1G ; Common ; John Matson ;  Archenemy
74 ; Wickerbough Elder ; Creature - Treefolk Shaman 4/4 ; 3G ; Common ; Jesper Ejsing ;  Archenemy
75 ; Yavimaya Dryad ; Creature - Dryad 2/1 ; 1GG ; Uncommon ; Rebecca Guay ;  Archenemy
76 ; Agony Warp ; Instant ; UB ; Common ; Dave Allsop ;  Archenemy
77 ; Architects of Will ; Artifact Creature - Human Wizard 3/3 ; 2UB ; Common ; Matt Stewart ;  Archenemy
78 ; Armadillo Cloak ; Enchantment - Aura ; 1WG ; Common ; Parente ;  Archenemy
79 ; Avatar of Discord ; Creature - Avatar 5/3 ; {B/R}{B/R}{B/R} ; Rare ; rk post ;  Archenemy
80 ; Batwing Brume ; Instant ; 1{W/B} ; Uncommon ; Richard Kane Ferguson ;  Archenemy
81 ; Bituminous Blast ; Instant ; 3BR ; Uncommon ; Raymond Swanland ;  Archenemy
82 ; Branching Bolt ; Instant ; 1RG ; Common ; Vance Kovacs ;  Archenemy
83 ; Colossal Might ; Instant ; RG ; Common ; Justin Sweet ;  Archenemy
84 ; Ethersworn Shieldmage ; Artifact Creature - Vedalken Wizard 2/2 ; 1WU ; Common ; Daarken ;  Archenemy
85 ; Fieldmist Borderpost ; Artifact ; 1WU ; Common ; Michael Bruinsma ;  Archenemy
86 ; Fires of Yavimaya ; Enchantment ; 1RG ; Uncommon ; Val Mayerik ;  Archenemy
87 ; Heroes' Reunion ; Instant ; WG ; Uncommon ; Terese Nielsen ;  Archenemy
88 ; Kaervek the Merciless ; Legendary Creature - Human Shaman 5/4 ; 5BR ; Rare ; rk post ;  Archenemy
89 ; Magister Sphinx ; Artifact Creature - Sphinx 5/5 ; 4WUB ; Rare ; Steven Belledin ;  Archenemy
90 ; Mistvein Borderpost ; Artifact ; 1UB ; Common ; Pete Venters ;  Archenemy
91 ; Pale Recluse ; Creature - Spider 4/5 ; 4WG ; Common ; Cyril Van Der Haegen ;  Archenemy
92 ; Rakdos Guildmage ; Creature - Zombie Shaman 2/2 ; {B/R}{B/R} ; Uncommon ; Jeremy Jarvis ;  Archenemy
93 ; Savage Twister ; Sorcery ; XRG ; Uncommon ; Luca Zontini ;  Archenemy
94 ; Selesnya Guildmage ; Creature - Elf Wizard 2/2 ; {G/W}{G/W} ; Uncommon ; Mark Zug ;  Archenemy
95 ; Terminate ; Instant ; BR ; Common ; Wayne Reynolds ;  Archenemy
96 ; Torrent of Souls ; Sorcery ; 4{B/R} ; Uncommon ; Ian Edward Ameling ;  Archenemy
97 ; Unbender Tine ; Artifact ; 2WU ; Uncommon ; Greg Hildebrandt ;  Archenemy
98 ; Unmake ; Instant ; {W/B}{W/B}{W/B} ; Common ; Steven Belledin ;  Archenemy
99 ; Vampiric Dragon ; Creature - Vampire Dragon 5/5 ; 6BR ; Rare ; Gary Ruddell ;  Archenemy
100 ; Watchwolf ; Creature - Wolf 3/3 ; WG ; Uncommon ; Kev Walker ;  Archenemy
101 ; Wax (Wax/Wane) ; Instant ; G ; Uncommon ; Ben Thompson ;  Archenemy
102 ; Ather Spellbomb ; Artifact ; 1 ; Common ; Jim Nelson ;  Archenemy
103 ; Azorius Signet ; Artifact ; 2 ; Common ; Greg Hildebrandt ;  Archenemy
104 ; Dimir Signet ; Artifact ; 2 ; Common ; Greg Hildebrandt ;  Archenemy
105 ; Dreamstone Hedron ; Artifact ; 6 ; Uncommon ; Eric Deschamps ;  Archenemy
106 ; Duplicant ; Artifact Creature - Shapeshifter 2/4 ; 6 ; Rare ; Thomas M. Baxa ;  Archenemy
107 ; Everflowing Chalice ; Artifact ; 0 ; Uncommon ; Steve Argyle ;  Archenemy
108 ; Gruul Signet ; Artifact ; 2 ; Common ; Greg Hildebrandt ;  Archenemy
109 ; Juggernaut ; Artifact Creature - Juggernaut 5/3 ; 4 ; Uncommon ; Arnie Swekel ;  Archenemy
110 ; Lightning Greaves ; Artifact - Equipment ; 2 ; Uncommon ; Jeremy Jarvis ;  Archenemy
111 ; Lodestone Golem ; Artifact Creature - Golem 5/3 ; 4 ; Rare ; Chris Rahne ;  Archenemy
112 ; Memnarch ; Legendary Artifact Creature - Wizard 4/5 ; 7 ; Rare ; Carl Critchlow ;  Archenemy
113 ; Obelisk of Esper ; Artifact ; 3 ; Common ; Francis Tsai ;  Archenemy
114 ; Rakdos Signet ; Artifact ; 2 ; Common ; Greg Hildebrandt ;  Archenemy
115 ; Skullcage ; Artifact ; 4 ; Uncommon ; Ron Spencer ;  Archenemy
116 ; Sorcerer's Strongbox ; Artifact ; 4 ; Uncommon ; Chuck Lukacs ;  Archenemy
117 ; Sun Droplet ; Artifact ; 2 ; Uncommon ; Greg Hildebrandt ;  Archenemy
118 ; Sundering Titan ; Artifact Creature - Golem 7/10 ; 8 ; Rare ; Jim Murray ;  Archenemy
119 ; Synod Centurion ; Artifact Creature - Construct 4/4 ; 4 ; Uncommon ; Kev Walker ;  Archenemy
120 ; Synod Sanctum ; Artifact ; 1 ; Uncommon ; Dana Knutson ;  Archenemy
121 ; Thran Dynamo ; Artifact ; 4 ; Uncommon ; Ron Spears ;  Archenemy
122 ; Thunderstaff ; Artifact ; 3 ; Uncommon ; Kaja Foglio ;  Archenemy
123 ; Artisan of Kozilek ; Creature - Eldrazi 10/9 ; 9 ; Uncommon ; Jason Felix ;  Archenemy
124 ; Barren Moor ; Land ; ; Common ; Heather Hudson ;  Archenemy
125 ; Graypelt Refuge ; Land ; ; Uncommon ; Philip Straub ;  Archenemy
126 ; Kazandu Refuge ; Land ; ; Uncommon ; Franz Vohwinkel ;  Archenemy
127 ; Khalni Garden ; Land ; ; Common ; Ryan Pancoast ;  Archenemy
128 ; Krosan Verge ; Land ; ; Uncommon ; Tony Szczudlo ;  Archenemy
129 ; Llanowar Reborn ; Land ; ; Uncommon ; Philip Straub ;  Archenemy
130 ; Mosswort Bridge ; Land ; ; Rare ; Jeremy Jarvis ;  Archenemy
131 ; Nantuko Monastery ; Land ; ; Uncommon ; Rob Alexander ;  Archenemy
132 ; Rakdos Carnarium ; Land ; ; Common ; John Avon ;  Archenemy
133 ; Secluded Steppe ; Land ; ; Common ; Heather Hudson ;  Archenemy
134 ; Terramorphic Expanse ; Land ; ; Common ; Dan Scott ;  Archenemy
135 ; Tranquil Thicket ; Land ; ; Common ; Heather Hudson ;  Archenemy
136 ; Vitu-Ghazi, the City-Tree ; Land ; ; Uncommon ; Martina Pilcerova ;  Archenemy
137 ; Plains ; Basic Land - Plains ; ; Land ; Fred Fields ;  Archenemy
138 ; Plains ; Basic Land - Plains ; ; Land ; Fred Fields ;  Archenemy
139 ; Island ; Basic Land - Island ; ; Land ; John Avon ;  Archenemy
140 ; Island ; Basic Land - Island ; ; Land ; John Avon ;  Archenemy
141 ; Island ; Basic Land - Island ; ; Land ; John Avon ;  Archenemy
142 ; Swamp ; Basic Land - Swamp ; ; Land ; Susan Van Camp ;  Archenemy
143 ; Swamp ; Basic Land - Swamp ; ; Land ; Susan Van Camp ;  Archenemy
144 ; Swamp ; Basic Land - Swamp ; ; Land ; Susan Van Camp ;  Archenemy
145 ; Mountain ; Basic Land - Mountain ; ; Land ; Rob Alexander ;  Archenemy
146 ; Mountain ; Basic Land - Mountain ; ; Land ; Rob Alexander ;  Archenemy
147 ; Mountain ; Basic Land - Mountain ; ; Land ; Rob Alexander ;  Archenemy
148 ; Forest ; Basic Land - Forest ; ; Land ; Quinton Hoover ;  Archenemy
149 ; Forest ; Basic Land - Forest ; ; Land ; Quinton Hoover ;  Archenemy
150 ; Forest ; Basic Land - Forest ; ; Land ; Quinton Hoover ;  Archenemy
151 ; Wane (Wax/Wane) ; Instant ; W ; Special ; Ben Thompson ;  Archenemy
1 ; Phyrexian Negator ; Creature - Horror 5/5 ; 2B ; Mythic Rare ; Jim Murray ;  Duel Decks: Phyrexia vs. The Coalition
2 ; Carrion Feeder ; Creature - Zombie 1/1 ; B ; Common ; Brian Snoddy ;  Duel Decks: Phyrexia vs. The Coalition
3 ; Phyrexian Battleflies ; Creature - Insect 0/1 ; B ; Common ; Dan Frazier ;  Duel Decks: Phyrexia vs. The Coalition
4 ; Phyrexian Denouncer ; Creature - Carrier 1/1 ; 1B ; Common ; Brian Snoddy ;  Duel Decks: Phyrexia vs. The Coalition
5 ; Bone Shredder ; Creature - Minion 1/1 ; 2B ; Uncommon ; Ron Spencer ;  Duel Decks: Phyrexia vs. The Coalition
6 ; Phyrexian Ghoul ; Creature - Zombie 2/2 ; 2B ; Common ; Pete Venters ;  Duel Decks: Phyrexia vs. The Coalition
7 ; Priest of Gix ; Creature - Human Cleric Minion 2/1 ; 2B ; Uncommon ; Brian Despain ;  Duel Decks: Phyrexia vs. The Coalition
8 ; Phyrexian Broodlings ; Creature - Minion 2/2 ; 1BB ; Common ; Daren Bader ;  Duel Decks: Phyrexia vs. The Coalition
9 ; Sanguine Guard ; Creature - Zombie Knight 2/2 ; 1BB ; Uncommon ; Kev Walker ;  Duel Decks: Phyrexia vs. The Coalition
10 ; Phyrexian Debaser ; Creature - Carrier 2/2 ; 3B ; Common ; Mark Tedin ;  Duel Decks: Phyrexia vs. The Coalition
11 ; Order of Yawgmoth ; Creature - Zombie Knight 2/2 ; 2BB ; Uncommon ; Chippy ;  Duel Decks: Phyrexia vs. The Coalition
12 ; Phyrexian Defiler ; Creature - Carrier 3/3 ; 2BB ; Uncommon ; DiTerlizzi ;  Duel Decks: Phyrexia vs. The Coalition
13 ; Phyrexian Plaguelord ; Creature - Carrier 4/4 ; 3BB ; Rare ; Kev Walker ;  Duel Decks: Phyrexia vs. The Coalition
14 ; Phyrexian Hulk ; Artifact Creature - Golem 5/4 ; 6 ; Uncommon ; Matthew D. Wilson ;  Duel Decks: Phyrexia vs. The Coalition
15 ; Phyrexian Gargantua ; Creature - Horror 4/4 ; 4BB ; Uncommon ; Carl Critchlow ;  Duel Decks: Phyrexia vs. The Coalition
16 ; Phyrexian Colossus ; Artifact Creature - Golem 8/8 ; 7 ; Rare ; Mark Tedin ;  Duel Decks: Phyrexia vs. The Coalition
17 ; Voltaic Key ; Artifact ; 1 ; Uncommon ; Franz Vohwinkel ;  Duel Decks: Phyrexia vs. The Coalition
18 ; Dark Ritual ; Instant ; B ; Common ; Tom Fleming ;  Duel Decks: Phyrexia vs. The Coalition
19 ; Lightning Greaves ; Artifact - Equipment ; 2 ; Uncommon ; Jeremy Jarvis ;  Duel Decks: Phyrexia vs. The Coalition
20 ; Phyrexian Totem ; Artifact ; 3 ; Uncommon ; John Zeleznik ;  Duel Decks: Phyrexia vs. The Coalition
21 ; Phyrexian Vault ; Artifact ; 3 ; Uncommon ; Hannibal King ;  Duel Decks: Phyrexia vs. The Coalition
22 ; Puppet Strings ; Artifact ; 3 ; Uncommon ; Scott Kirschner ;  Duel Decks: Phyrexia vs. The Coalition
23 ; Whispersilk Cloak ; Artifact - Equipment ; 3 ; Uncommon ; Daren Bader ;  Duel Decks: Phyrexia vs. The Coalition
24 ; Worn Powerstone ; Artifact ; 3 ; Uncommon ; Henry G. Higgenbotham ;  Duel Decks: Phyrexia vs. The Coalition
25 ; Slay ; Instant ; 2B ; Uncommon ; Ben Thompson ;  Duel Decks: Phyrexia vs. The Coalition
26 ; Hideous End ; Instant ; 1BB ; Common ; Zoltan Boros & Gabor Szikszai ;  Duel Decks: Phyrexia vs. The Coalition
27 ; Phyrexian Arena ; Enchantment ; 1BB ; Rare ; Pete Venters ;  Duel Decks: Phyrexia vs. The Coalition
28 ; Hornet Cannon ; Artifact ; 4 ; Uncommon ; Ron Spencer ;  Duel Decks: Phyrexia vs. The Coalition
29 ; Phyrexian Processor ; Artifact ; 4 ; Rare ; Dave Kendall ;  Duel Decks: Phyrexia vs. The Coalition
30 ; Tendrils of Corruption ; Instant ; 3B ; Common ; Vance Kovacs ;  Duel Decks: Phyrexia vs. The Coalition
31 ; Living Death ; Sorcery ; 3BB ; Rare ; Charles Gillespie ;  Duel Decks: Phyrexia vs. The Coalition
32 ; Swamp ; Basic Land - Swamp ; ; Land ; Rob Alexander ;  Duel Decks: Phyrexia vs. The Coalition
33 ; Swamp ; Basic Land - Swamp ; ; Land ; Rob Alexander ;  Duel Decks: Phyrexia vs. The Coalition
34 ; Swamp ; Basic Land - Swamp ; ; Land ; Ron Spencer ;  Duel Decks: Phyrexia vs. The Coalition
35 ; Swamp ; Basic Land - Swamp ; ; Land ; Ron Spencer ;  Duel Decks: Phyrexia vs. The Coalition
36 ; Urza's Rage ; Instant ; 2R ; Mythic Rare ; Jim Murray ;  Duel Decks: Phyrexia vs. The Coalition
37 ; Thornscape Apprentice ; Creature - Human Wizard 1/1 ; G ; Common ; Randy Gallegos ;  Duel Decks: Phyrexia vs. The Coalition
38 ; Nomadic Elf ; Creature - Elf Nomad 2/2 ; 1G ; Common ; D. J. Cleland-Hura ;  Duel Decks: Phyrexia vs. The Coalition
39 ; Quirion Elves ; Creature - Elf Druid 1/1 ; 1G ; Common ; Douglas Shuler ;  Duel Decks: Phyrexia vs. The Coalition
40 ; Sunscape Battlemage ; Creature - Human Wizard 2/2 ; 2W ; Uncommon ; Tony Szczudlo ;  Duel Decks: Phyrexia vs. The Coalition
41 ; Thunderscape Battlemage ; Creature - Human Wizard 2/2 ; 2R ; Uncommon ; Mike Ploog ;  Duel Decks: Phyrexia vs. The Coalition
42 ; Thornscape Battlemage ; Creature - Elf Wizard 2/2 ; 2G ; Uncommon ; Matt Cavotta ;  Duel Decks: Phyrexia vs. The Coalition
43 ; Verduran Emissary ; Creature - Human Wizard 2/3 ; 2G ; Uncommon ; Alton Lawson ;  Duel Decks: Phyrexia vs. The Coalition
44 ; Yavimaya Elder ; Creature - Human Druid 2/1 ; 1GG ; Common ; Matt Cavotta ;  Duel Decks: Phyrexia vs. The Coalition
45 ; Charging Troll ; Creature - Troll 3/3 ; 2WG ; Uncommon ; Dave Dorman ;  Duel Decks: Phyrexia vs. The Coalition
46 ; Gerrard Capashen ; Legendary Creature - Human Soldier 3/4 ; 3WW ; Rare ; Brom ;  Duel Decks: Phyrexia vs. The Coalition
47 ; Darigaaz, the Igniter ; Legendary Creature - Dragon 6/6 ; 3BRG ; Rare ; Mark Zug ;  Duel Decks: Phyrexia vs. The Coalition
48 ; Rith, the Awakener ; Legendary Creature - Dragon 6/6 ; 3WRG ; Rare ; Carl Critchlow ;  Duel Decks: Phyrexia vs. The Coalition
49 ; Treva, the Renewer ; Legendary Creature - Dragon 6/6 ; 3WUG ; Rare ; Ciruelo ;  Duel Decks: Phyrexia vs. The Coalition
50 ; Evasive Action ; Instant ; 1U ; Uncommon ; Brian Snoddy ;  Duel Decks: Phyrexia vs. The Coalition
51 ; Tribal Flames ; Sorcery ; 1R ; Common ; Tony Szczudlo ;  Duel Decks: Phyrexia vs. The Coalition
52 ; Fertile Ground ; Enchantment - Aura ; 1G ; Common ; Carl Critchlow ;  Duel Decks: Phyrexia vs. The Coalition
53 ; Gerrard's Command ; Instant ; WG ; Common ; Roger Raupp ;  Duel Decks: Phyrexia vs. The Coalition
54 ; Coalition Relic ; Artifact ; 3 ; Rare ; Donato Giancola ;  Duel Decks: Phyrexia vs. The Coalition
55 ; Narrow Escape ; Instant ; 2W ; Common ; Karl Kopinski ;  Duel Decks: Phyrexia vs. The Coalition
56 ; Exotic Curse ; Enchantment - Aura ; 2B ; Common ; Dany Orizio ;  Duel Decks: Phyrexia vs. The Coalition
57 ; Harrow ; Instant ; 2G ; Common ; Rob Alexander ;  Duel Decks: Phyrexia vs. The Coalition
58 ; Armadillo Cloak ; Enchantment - Aura ; 1WG ; Common ; Wayne Reynolds ;  Duel Decks: Phyrexia vs. The Coalition
59 ; Darigaaz's Charm ; Instant ; BRG ; Uncommon ; David Martin ;  Duel Decks: Phyrexia vs. The Coalition
60 ; Rith's Charm ; Instant ; WRG ; Uncommon ; David Martin ;  Duel Decks: Phyrexia vs. The Coalition
61 ; Treva's Charm ; Instant ; WUG ; Uncommon ; David Martin ;  Duel Decks: Phyrexia vs. The Coalition
62 ; Power Armor ; Artifact ; 4 ; Uncommon ; Doug Chaffee ;  Duel Decks: Phyrexia vs. The Coalition
63 ; Allied Strategies ; Sorcery ; 4U ; Uncommon ; Paolo Parente ;  Duel Decks: Phyrexia vs. The Coalition
64 ; Elfhame Palace ; Land ; ; Uncommon ; Jerry Tiritilli ;  Duel Decks: Phyrexia vs. The Coalition
65 ; Shivan Oasis ; Land ; ; Uncommon ; Rob Alexander ;  Duel Decks: Phyrexia vs. The Coalition
66 ; Terramorphic Expanse ; Land ; ; Common ; Dan Scott ;  Duel Decks: Phyrexia vs. The Coalition
67 ; Plains ; Basic Land - Plains ; ; Land ; D. J. Cleland-Hura ;  Duel Decks: Phyrexia vs. The Coalition
68 ; Island ; Basic Land - Island ; ; Land ; Terese Nielsen ;  Duel Decks: Phyrexia vs. The Coalition
69 ; Mountain ; Basic Land - Mountain ; ; Land ; Scott Bailey ;  Duel Decks: Phyrexia vs. The Coalition
70 ; Forest ; Basic Land - Forest ; ; Land ; John Avon ;  Duel Decks: Phyrexia vs. The Coalition
71 ; Forest ; Basic Land - Forest ; ; Land ; Alan Pollack ;  Duel Decks: Phyrexia vs. The Coalition
1 ; Metallic Sliver ; Artifact Creature - Sliver 1/1 ; 1 ; Common ; L. A. Williams ;  Premium Deck Series: Slivers
2 ; Virulent Sliver ; Creature - Sliver 1/1 ; G ; Common ; Franz Vohwinkel ;  Premium Deck Series: Slivers
3 ; Amoeboid Changeling ; Creature - Shapeshifter 1/1 ; 1U ; Common ; Nils Hamm ;  Premium Deck Series: Slivers
4 ; Winged Sliver ; Creature - Sliver 1/1 ; 1U ; Common ; Anthony S. Waters ;  Premium Deck Series: Slivers
5 ; Clot Sliver ; Creature - Sliver 1/1 ; 1B ; Common ; Jeff Laubenstein ;  Premium Deck Series: Slivers
6 ; Frenzy Sliver ; Creature - Sliver 1/1 ; 1B ; Common ; Glen Angus ;  Premium Deck Series: Slivers
