1 ; Animate Wall ; Enchant Creature ; W ; Rare ; Richard Kane Ferguson ;  Classic Sixth Edition
255 ; Summer Bloom ; Sorcery ; 1G ; Uncommon ; Kaja Foglio ;  Classic Sixth Edition
256 ; Thicket Basilisk ; Creature - Basilisk 2/4 ; 3GG ; Uncommon ; Dan Frazier ;  Classic Sixth Edition
257 ; Trained Armodon ; Creature - Elephant 3/3 ; 1GG ; Common ; Gary Leach ;  Classic Sixth Edition
258 ; Tranquil Grove ; Enchantment ; 1G ; Rare ; Dylan Martens ;  Classic Sixth Edition
259 ; Tranquility ; Sorcery ; 2G ; Common ; Douglas Shuler ;  Classic Sixth Edition
260 ; Uktabi Orangutan ; Creature - Ape 2/2 ; 2G ; Uncommon ; Una Fricker ;  Classic Sixth Edition
261 ; Uktabi Wildcats ; Creature - Cat Warrior */* ; 4G ; Rare ; John Matson ;  Classic Sixth Edition
262 ; Unseen Walker ; Creature - Dryad 1/1 ; 1G ; Uncommon ; Alan Rabinowitz ;  Classic Sixth Edition
263 ; Untamed Wilds ; Sorcery ; 2G ; Uncommon ; NÈNÈ Thomas ;  Classic Sixth Edition
264 ; Verduran Enchantress ; Creature - Wizard 0/2 ; 1GG ; Rare ; Kev Brockschmidt ;  Classic Sixth Edition
265 ; Vitalize ; Instant ; G ; Common ; Pete Venters ;  Classic Sixth Edition
266 ; Waiting in the Weeds ; Sorcery ; 1GG ; Rare ; Susan Van Camp ;  Classic Sixth Edition
267 ; Warthog ; Creature - Warthog 3/2 ; 1GG ; Uncommon ; Steve White ;  Classic Sixth Edition
268 ; Wild Growth ; Enchant Land ; G ; Common ; Pat Morrissey ;  Classic Sixth Edition
269 ; Worldly Tutor ; Instant ; G ; Uncommon ; David O'Connor ;  Classic Sixth Edition
270 ; Wyluli Wolf ; Creature - Wolf 1/1 ; 1G ; Rare ; Susan Van Camp ;  Classic Sixth Edition
271 ; Aladdin's Ring ; Artifact ; 8 ; Rare ; Stuart Griffin ;  Classic Sixth Edition
272 ; Amber Prison ; Artifact ; 4 ; Rare ; Donato Giancola ;  Classic Sixth Edition
273 ; Ankh of Mishra ; Artifact ; 2 ; Rare ; Ian Miller ;  Classic Sixth Edition
274 ; Ashnod's Altar ; Artifact ; 3 ; Uncommon ; Anson Maddocks ;  Classic Sixth Edition
275 ; Bottle of Suleiman ; Artifact ; 4 ; Rare ; DiTerlizzi ;  Classic Sixth Edition
276 ; Charcoal Diamond ; Artifact ; 2 ; Uncommon ; Drew Tucker ;  Classic Sixth Edition
277 ; Crystal Rod ; Artifact ; 1 ; Uncommon ; Donato Giancola ;  Classic Sixth Edition
278 ; Cursed Totem ; Artifact ; 2 ; Rare ; D. Alexander Gregory ;  Classic Sixth Edition
279 ; Dancing Scimitar ; Artifact Creature 1/5 ; 4 ; Rare ; Anson Maddocks ;  Classic Sixth Edition
280 ; Dingus Egg ; Artifact ; 4 ; Rare ; Randy Gallegos ;  Classic Sixth Edition
281 ; Disrupting Scepter ; Artifact ; 3 ; Rare ; Stuart Griffin ;  Classic Sixth Edition
282 ; Dragon Engine ; Artifact Creature 1/3 ; 3 ; Rare ; Anson Maddocks ;  Classic Sixth Edition
283 ; Dragon Mask ; Artifact ; 3 ; Uncommon ; Craig Hooper ;  Classic Sixth Edition
284 ; Fire Diamond ; Artifact ; 2 ; Uncommon ; Richard Thomas ;  Classic Sixth Edition
285 ; Flying Carpet ; Artifact ; 4 ; Rare ; Mark Tedin ;  Classic Sixth Edition
286 ; Fountain of Youth ; Artifact ; 0 ; Uncommon ; Daniel Gelon ;  Classic Sixth Edition
287 ; Glasses of Urza ; Artifact ; 1 ; Uncommon ; Douglas Shuler ;  Classic Sixth Edition
288 ; Grinning Totem ; Artifact ; 4 ; Rare ; Donato Giancola ;  Classic Sixth Edition
289 ; The Hive ; Artifact ; 5 ; Rare ; Sandra Everingham ;  Classic Sixth Edition
290 ; Howling Mine ; Artifact ; 2 ; Rare ; Mark Poole ;  Classic Sixth Edition
291 ; Iron Star ; Artifact ; 1 ; Uncommon ; Donato Giancola ;  Classic Sixth Edition
292 ; Ivory Cup ; Artifact ; 1 ; Uncommon ; Donato Giancola ;  Classic Sixth Edition
293 ; Jade Monolith ; Artifact ; 4 ; Rare ; Richard Kane Ferguson ;  Classic Sixth Edition
294 ; Jalum Tome ; Artifact ; 3 ; Rare ; Tom W‰nerstrand ;  Classic Sixth Edition
295 ; Jayemdae Tome ; Artifact ; 4 ; Rare ; Mark Tedin ;  Classic Sixth Edition
296 ; Lead Golem ; Artifact Creature - Golem 3/5 ; 5 ; Uncommon ; Hannibal King ;  Classic Sixth Edition
297 ; Mana Prism ; Artifact ; 3 ; Uncommon ; Margaret Organ-Kean ;  Classic Sixth Edition
298 ; Marble Diamond ; Artifact ; 2 ; Uncommon ; Jeff Miracola ;  Classic Sixth Edition
299 ; Meekstone ; Artifact ; 1 ; Rare ; Quinton Hoover ;  Classic Sixth Edition
300 ; Millstone ; Artifact ; 2 ; Rare ; Kaja Foglio ;  Classic Sixth Edition
301 ; Moss Diamond ; Artifact ; 2 ; Uncommon ; Donato Giancola ;  Classic Sixth Edition
302 ; Mystic Compass ; Artifact ; 2 ; Uncommon ; Amy Weber ;  Classic Sixth Edition
303 ; Obsianus Golem ; Artifact Creature - Golem 4/6 ; 6 ; Uncommon ; Jesper Myrfors ;  Classic Sixth Edition
304 ; Ornithopter ; Artifact Creature 0/2 ; 0 ; Uncommon ; Amy Weber ;  Classic Sixth Edition
305 ; Patagia Golem ; Artifact Creature - Golem 2/3 ; 4 ; Uncommon ; Scott Kirschner ;  Classic Sixth Edition
306 ; Pentagram of the Ages ; Artifact ; 4 ; Rare ; Douglas Shuler ;  Classic Sixth Edition
307 ; Phyrexian Vault ; Artifact ; 3 ; Uncommon ; Hannibal King ;  Classic Sixth Edition
308 ; Primal Clay ; Artifact Creature */* ; 4 ; Rare ; Adam Rex ;  Classic Sixth Edition
309 ; Rod of Ruin ; Artifact ; 4 ; Uncommon ; Christopher Rush ;  Classic Sixth Edition
310 ; Skull Catapult ; Artifact ; 4 ; Uncommon ; Ian Miller ;  Classic Sixth Edition
311 ; Sky Diamond ; Artifact ; 2 ; Uncommon ; D. Alexander Gregory ;  Classic Sixth Edition
312 ; Snake Basket ; Artifact ; 4 ; Rare ; Roger Raupp ;  Classic Sixth Edition
313 ; Soul Net ; Artifact ; 1 ; Uncommon ; Andrew Robinson ;  Classic Sixth Edition
314 ; Storm Cauldron ; Artifact ; 5 ; Rare ; Dan Frazier ;  Classic Sixth Edition
315 ; Teferi's Puzzle Box ; Artifact ; 4 ; Rare ; Kaja Foglio ;  Classic Sixth Edition
316 ; Throne of Bone ; Artifact ; 1 ; Uncommon ; Donato Giancola ;  Classic Sixth Edition
317 ; Wand of Denial ; Artifact ; 2 ; Rare ; Steve Luke ;  Classic Sixth Edition
318 ; Wooden Sphere ; Artifact ; 1 ; Uncommon ; Donato Giancola ;  Classic Sixth Edition
319 ; Adarkar Wastes ; Land ; ; Rare ; Gary Leach ;  Classic Sixth Edition
320 ; Brushland ; Land ; ; Rare ; Tom W‰nerstrand ;  Classic Sixth Edition
321 ; City of Brass ; Land ; ; Rare ; Tom W‰nerstrand ;  Classic Sixth Edition
322 ; Crystal Vein ; Land ; ; Uncommon ; Pat Morrissey ;  Classic Sixth Edition
323 ; Dwarven Ruins ; Land ; ; Uncommon ; Liz Danforth ;  Classic Sixth Edition
324 ; Ebon Stronghold ; Land ; ; Uncommon ; Liz Danforth ;  Classic Sixth Edition
325 ; Havenwood Battleground ; Land ; ; Uncommon ; Liz Danforth ;  Classic Sixth Edition
326 ; Karplusan Forest ; Land ; ; Rare ; Randy Gallegos ;  Classic Sixth Edition
327 ; Ruins of Trokair ; Land ; ; Uncommon ; Liz Danforth ;  Classic Sixth Edition
328 ; Sulfurous Springs ; Land ; ; Rare ; Jeff Miracola ;  Classic Sixth Edition
329 ; Svyelunite Temple ; Land ; ; Uncommon ; Liz Danforth ;  Classic Sixth Edition
330 ; Underground River ; Land ; ; Rare ; Jeff Miracola ;  Classic Sixth Edition
331 ; Plains ; Land ; ; Land ; Tom W‰nerstrand ;  Classic Sixth Edition
332 ; Plains ; Land ; ; Land ; Tom W‰nerstrand ;  Classic Sixth Edition
333 ; Plains ; Land ; ; Land ; Douglas Shuler ;  Classic Sixth Edition
334 ; Plains ; Land ; ; Land ; Fred Fields ;  Classic Sixth Edition
335 ; Island ; Land ; ; Land ; Douglas Shuler ;  Classic Sixth Edition
336 ; Island ; Land ; ; Land ; J. W. Frost ;  Classic Sixth Edition
337 ; Island ; Land ; ; Land ; John Avon ;  Classic Sixth Edition
338 ; Island ; Land ; ; Land ; Eric Peterson ;  Classic Sixth Edition
339 ; Swamp ; Land ; ; Land ; Romas ;  Classic Sixth Edition
340 ; Swamp ; Land ; ; Land ; Dan Frazier ;  Classic Sixth Edition
341 ; Swamp ; Land ; ; Land ; Douglas Shuler ;  Classic Sixth Edition
342 ; Swamp ; Land ; ; Land ; Romas ;  Classic Sixth Edition
343 ; Mountain ; Land ; ; Land ; John Avon ;  Classic Sixth Edition
344 ; Mountain ; Land ; ; Land ; John Avon ;  Classic Sixth Edition
345 ; Mountain ; Land ; ; Land ; John Avon ;  Classic Sixth Edition
346 ; Mountain ; Land ; ; Land ; Brian Durfee ;  Classic Sixth Edition
347 ; Forest ; Land ; ; Land ; Quinton Hoover ;  Classic Sixth Edition
348 ; Forest ; Land ; ; Land ; Quinton Hoover ;  Classic Sixth Edition
349 ; Forest ; Land ; ; Land ; John Avon ;  Classic Sixth Edition
350 ; Forest ; Land ; ; Land ; John Avon ;  Classic Sixth Edition
