1 ; Absolute Grace ; Enchantment ; 1W ; Uncommon ; Jeff Miracola ;  Urza's Saga
274 ; Spreading Algae ; Enchant Land ; G ; Uncommon ; Stephen Daniele ;  Urza's Saga
275 ; Symbiosis ; Instant ; 1G ; Common ; Jeff Miracola ;  Urza's Saga
276 ; Titania's Boon ; Sorcery ; 3G ; Uncommon ; Val Mayerik ;  Urza's Saga
277 ; Titania's Chosen ; Summon Elf 1/1 ; 2G ; Uncommon ; Mark Zug ;  Urza's Saga
278 ; Treefolk Seedlings ; Summon Treefolk 2/* ; 2G ; Uncommon ; John Matson ;  Urza's Saga
279 ; Treetop Rangers ; Summon Elves 2/2 ; 2G ; Common ; Daren Bader ;  Urza's Saga
280 ; Venomous Fangs ; Enchant Creature ; 2G ; Common ; Lawrence Snelly ;  Urza's Saga
281 ; Vernal Bloom ; Enchantment ; 3G ; Rare ; Bob Eggleton ;  Urza's Saga
282 ; War Dance ; Enchantment ; G ; Uncommon ; Terese Nielsen ;  Urza's Saga
283 ; Whirlwind ; Sorcery ; 2GG ; Rare ; John Matson ;  Urza's Saga
284 ; Wild Dogs ; Summon Hounds 2/1 ; G ; Common ; Terese Nielsen ;  Urza's Saga
285 ; Winding Wurm ; Summon Wurm 6/6 ; 4G ; Common ; DiTerlizzi ;  Urza's Saga
286 ; Barrin's Codex ; Artifact ; 4 ; Rare ; DiTerlizzi ;  Urza's Saga
287 ; Cathodion ; Artifact Creature 3/3 ; 3 ; Uncommon ; Henry G. Higgenbotham ;  Urza's Saga
288 ; Chimeric Staff ; Artifact ; 4 ; Rare ; Michael Sutfin ;  Urza's Saga
289 ; Citanul Flute ; Artifact ; 5 ; Rare ; Berry ;  Urza's Saga
290 ; Claws of Gix ; Artifact ; 0 ; Uncommon ; Henry G. Higgenbotham ;  Urza's Saga
291 ; Copper Gnomes ; Artifact Creature 1/1 ; 2 ; Rare ; Jeff Laubenstein ;  Urza's Saga
292 ; Crystal Chimes ; Artifact ; 3 ; Uncommon ; Donato Giancola ;  Urza's Saga
293 ; Dragon Blood ; Artifact ; 3 ; Uncommon ; Greg Simanson ;  Urza's Saga
294 ; Endoskeleton ; Artifact ; 2 ; Uncommon ; Mark Tedin ;  Urza's Saga
295 ; Fluctuator ; Artifact ; 2 ; Rare ; John Matson ;  Urza's Saga
296 ; Grafted Skullcap ; Artifact ; 4 ; Rare ; Brian Despain ;  Urza's Saga
297 ; Hopping Automaton ; Artifact Creature 2/2 ; 3 ; Uncommon ; Val Mayerik ;  Urza's Saga
298 ; Karn, Silver Golem ; Legendary Artifact Creature 4/4 ; 5 ; Rare ; Mark Zug ;  Urza's Saga
299 ; Lifeline ; Artifact ; 5 ; Rare ; D. Alexander Gregory ;  Urza's Saga
300 ; Lotus Blossom ; Artifact ; 2 ; Rare ; Randy Gallegos ;  Urza's Saga
301 ; Metrognome ; Artifact ; 4 ; Rare ; Jeff Laubenstein ;  Urza's Saga
302 ; Mishra's Helix ; Artifact ; 5 ; Rare ; Berry ;  Urza's Saga
303 ; Mobile Fort ; Artifact Creature 0/6 ; 4 ; Uncommon ; Mark Tedin ;  Urza's Saga
304 ; Noetic Scales ; Artifact ; 4 ; Rare ; Andrew Robinson ;  Urza's Saga
305 ; Phyrexian Colossus ; Artifact Creature 8/8 ; 7 ; Rare ; Mark Tedin ;  Urza's Saga
306 ; Phyrexian Processor ; Artifact ; 4 ; Rare ; Ron Spencer ;  Urza's Saga
307 ; Pit Trap ; Artifact ; 2 ; Uncommon ; Brian Snoddy ;  Urza's Saga
308 ; Purging Scythe ; Artifact ; 5 ; Rare ; Matthew Wilson ;  Urza's Saga
309 ; Smokestack ; Artifact ; 4 ; Rare ; Scott Kirschner ;  Urza's Saga
310 ; Temporal Aperture ; Artifact ; 2 ; Rare ; Michael Sutfin ;  Urza's Saga
311 ; Thran Turbine ; Artifact ; 1 ; Uncommon ; Brian Snoddy ;  Urza's Saga
312 ; Umbilicus ; Artifact ; 4 ; Rare ; Dermot Power ;  Urza's Saga
313 ; Urza's Armor ; Artifact ; 6 ; Uncommon ; rk post ;  Urza's Saga
314 ; Voltaic Key ; Artifact ; 1 ; Uncommon ; Henry G. Higgenbotham ;  Urza's Saga
315 ; Wall of Junk ; Artifact Creature 0/7 ; 2 ; Uncommon ; Adam Rex ;  Urza's Saga
316 ; Whetstone ; Artifact ; 3 ; Rare ; Greg Simanson ;  Urza's Saga
317 ; Wirecat ; Artifact Creature 4/3 ; 4 ; Uncommon ; Michael Sutfin ;  Urza's Saga
318 ; Worn Powerstone ; Artifact ; 3 ; Uncommon ; Henry G. Higgenbotham ;  Urza's Saga
319 ; Blasted Landscape ; Land ; ; Uncommon ; Ciruelo ;  Urza's Saga
320 ; Drifting Meadow ; Land ; ; Common ; Bob Eggleton ;  Urza's Saga
321 ; Gaea's Cradle ; Legendary Land ; ; Rare ; Mark Zug ;  Urza's Saga
322 ; Phyrexian Tower ; Legendary Land ; ; Rare ; Chippy ;  Urza's Saga
323 ; Polluted Mire ; Land ; ; Common ; Stephen Daniele ;  Urza's Saga
324 ; Remote Isle ; Land ; ; Common ; Ciruelo ;  Urza's Saga
325 ; Serra's Sanctum ; Legendary Land ; ; Rare ; Ciruelo ;  Urza's Saga
326 ; Shivan Gorge ; Legendary Land ; ; Rare ; John Matson ;  Urza's Saga
327 ; Slippery Karst ; Land ; ; Common ; Stephen Daniele ;  Urza's Saga
328 ; Smoldering Crater ; Land ; ; Common ; Mark Tedin ;  Urza's Saga
329 ; Thran Quarry ; Land ; ; Rare ; Michael Sutfin ;  Urza's Saga
330 ; Tolarian Academy ; Legendary Land ; ; Rare ; Stephen Daniele ;  Urza's Saga
331 ; Plains ; Land ; ; Land ; Rob Alexander ;  Urza's Saga
332 ; Plains ; Land ; ; Land ; Rob Alexander ;  Urza's Saga
333 ; Plains ; Land ; ; Land ; Rob Alexander ;  Urza's Saga
334 ; Plains ; Land ; ; Land ; Rob Alexander ;  Urza's Saga
335 ; Island ; Land ; ; Land ; Donato Giancola ;  Urza's Saga
336 ; Island ; Land ; ; Land ; Donato Giancola ;  Urza's Saga
337 ; Island ; Land ; ; Land ; Donato Giancola ;  Urza's Saga
338 ; Island ; Land ; ; Land ; Donato Giancola ;  Urza's Saga
339 ; Swamp ; Land ; ; Land ; John Avon ;  Urza's Saga
340 ; Swamp ; Land ; ; Land ; John Avon ;  Urza's Saga
341 ; Swamp ; Land ; ; Land ; John Avon ;  Urza's Saga
342 ; Swamp ; Land ; ; Land ; John Avon ;  Urza's Saga
343 ; Mountain ; Land ; ; Land ; John Avon ;  Urza's Saga
344 ; Mountain ; Land ; ; Land ; John Avon ;  Urza's Saga
345 ; Mountain ; Land ; ; Land ; John Avon ;  Urza's Saga
346 ; Mountain ; Land ; ; Land ; John Avon ;  Urza's Saga
347 ; Forest ; Land ; ; Land ; Anthony S. Waters ;  Urza's Saga
348 ; Forest ; Land ; ; Land ; Anthony S. Waters ;  Urza's Saga
349 ; Forest ; Land ; ; Land ; Anthony S. Waters ;  Urza's Saga
350 ; Forest ; Land ; ; Land ; Anthony S. Waters ;  Urza's Saga
