1 ; Angelic Blessing ; Sorcery ; 2W ; Special ; Mark Zug ;  Starter 2000
72 ; Cunning Advisor ; Creature - Advisor 1/1 ; 3B ; Uncommon ; Gao Jianzhang ;  Portal Three Kingdoms
73 ; Deception ; Sorcery ; 2B ; Common ; Wang Feng ;  Portal Three Kingdoms
74 ; Desperate Charge ; Sorcery ; 2B ; Uncommon ; Chen Weidong ;  Portal Three Kingdoms
75 ; Famine ; Sorcery ; 3BB ; Uncommon ; Sun Nan ;  Portal Three Kingdoms
76 ; Ghostly Visit ; Sorcery ; 2B ; Common ; Kang Yu ;  Portal Three Kingdoms
77 ; Imperial Edict ; Sorcery ; 1B ; Common ; Xu Xiaoming ;  Portal Three Kingdoms
78 ; Imperial Seal ; Sorcery ; B ; Rare ; Li Tie ;  Portal Three Kingdoms
79 ; Overwhelming Forces ; Sorcery ; 6BB ; Rare ; Gao Yan ;  Portal Three Kingdoms
80 ; Poison Arrow ; Sorcery ; 4BB ; Uncommon ; Li Tie ;  Portal Three Kingdoms
81 ; Return to Battle ; Sorcery ; B ; Common ; Ding Songjian ;  Portal Three Kingdoms
82 ; Sima Yi, Wei Field Marshal ; Creature - Legend */4 ; 5B ; Rare ; Gao Yan ;  Portal Three Kingdoms
83 ; Stolen Grain ; Sorcery ; 4BB ; Uncommon ; LHQ ;  Portal Three Kingdoms
84 ; Stone Catapult ; Creature - Soldiers 1/2 ; 4B ; Rare ; Shang Huitong ;  Portal Three Kingdoms
85 ; Wei Ambush Force ; Creature - Soldiers 1/1 ; 1B ; Common ; Ku Xueming ;  Portal Three Kingdoms
86 ; Wei Assassins ; Creature - Soldiers 3/2 ; 3BB ; Uncommon ; Xu Tan ;  Portal Three Kingdoms
87 ; Wei Elite Companions ; Creature - Soldiers 3/3 ; 4B ; Uncommon ; Li Youliang ;  Portal Three Kingdoms
88 ; Wei Infantry ; Creature - Soldiers 2/1 ; 1B ; Common ; LHQ ;  Portal Three Kingdoms
89 ; Wei Night Raiders ; Creature - Soldiers 2/2 ; 2BB ; Uncommon ; Wang Feng ;  Portal Three Kingdoms
90 ; Wei Scout ; Creature - Soldier 1/1 ; 1B ; Common ; Jiang Zhuqing ;  Portal Three Kingdoms
91 ; Wei Strike Force ; Creature - Soldiers 2/1 ; 2B ; Common ; Tang Xiaogu ;  Portal Three Kingdoms
92 ; Xiahou Dun, the One-Eyed ; Creature - Legend 3/2 ; 2BB ; Rare ; Junko Taguchi ;  Portal Three Kingdoms
93 ; Xun Yu, Wei Advisor ; Creature - Legend 1/1 ; 1BB ; Rare ; Jack Wei ;  Portal Three Kingdoms
94 ; Young Wei Recruits ; Creature - Soldiers 2/2 ; 1B ; Common ; Li Youliang ;  Portal Three Kingdoms
95 ; Zhang He, Wei General ; Creature - Legend 4/2 ; 3BB ; Rare ; Jack Wei ;  Portal Three Kingdoms
96 ; Zhang Liao, Hero of Hefei ; Creature - Legend 3/3 ; 4BB ; Rare ; Li Youliang ;  Portal Three Kingdoms
97 ; Zodiac Pig ; Creature - Pig 3/3 ; 3B ; Uncommon ; Qi Baocheng ;  Portal Three Kingdoms
98 ; Zodiac Rat ; Creature - Rat 1/1 ; B ; Common ; Qi Baocheng ;  Portal Three Kingdoms
99 ; Zodiac Snake ; Creature - Snake 2/2 ; 2B ; Common ; Qi Baocheng ;  Portal Three Kingdoms
100 ; Barbarian General ; Creature - Soldier 3/2 ; 4R ; Uncommon ; Kuang Sheng ;  Portal Three Kingdoms
101 ; Barbarian Horde ; Creature - Soldiers 3/3 ; 3R ; Common ; Kuang Sheng ;  Portal Three Kingdoms
102 ; Blaze ; Sorcery ; XR ; Uncommon ; Qu Xin ;  Portal Three Kingdoms
103 ; Burning Fields ; Sorcery ; 4R ; Common ; Yang Hong ;  Portal Three Kingdoms
104 ; Burning of Xinye ; Sorcery ; 4RR ; Rare ; Yang Hong ;  Portal Three Kingdoms
105 ; Control of the Court ; Sorcery ; 1R ; Uncommon ; Li Yousong ;  Portal Three Kingdoms
106 ; Corrupt Eunuchs ; Creature - Advisor 2/2 ; 3R ; Uncommon ; Li Yousong ;  Portal Three Kingdoms
107 ; Desert Sandstorm ; Sorcery ; 2R ; Common ; Xu Tan ;  Portal Three Kingdoms
108 ; Diaochan, Artful Beauty ; Creature - Legend 1/1 ; 3R ; Rare ; Miao Aili ;  Portal Three Kingdoms
109 ; Dong Zhou, the Tyrant ; Creature - Legend 3/3 ; 4R ; Rare ; Junichi Inoue ;  Portal Three Kingdoms
110 ; Eunuchs' Intrigues ; Sorcery ; 2R ; Uncommon ; Li Yousong ;  Portal Three Kingdoms
111 ; Fire Ambush ; Sorcery ; 1R ; Common ; Tang Xiaogu ;  Portal Three Kingdoms
112 ; Fire Bowman ; Creature - Soldier 1/1 ; R ; Uncommon ; Cai Tingting ;  Portal Three Kingdoms
113 ; Imperial Recruiter ; Creature - Advisor 1/1 ; 2R ; Uncommon ; Mitsuaki Sagiri ;  Portal Three Kingdoms
114 ; Independent Troops ; Creature - Soldiers 2/1 ; 1R ; Common ; Kuang Sheng ;  Portal Three Kingdoms
115 ; Lu Bu, Master-at-Arms ; Creature - Legend 4/3 ; 5R ; Rare ; Gao Jianzhang ;  Portal Three Kingdoms
116 ; Ma Chao, Western Warrior ; Creature - Legend 3/3 ; 3RR ; Rare ; Koji ;  Portal Three Kingdoms
117 ; Mountain Bandit ; Creature - Soldier 1/1 ; R ; Common ; Xu Xiaoming ;  Portal Three Kingdoms
118 ; Ravaging Horde ; Creature - Soldiers 3/3 ; 3RR ; Uncommon ; Liu Jianjian ;  Portal Three Kingdoms
119 ; Relentless Assault ; Sorcery ; 2RR ; Rare ; He Jiancheng ;  Portal Three Kingdoms
120 ; Renegade Troops ; Creature - Soldiers 4/2 ; 4R ; Uncommon ; Liu Jianjian ;  Portal Three Kingdoms
121 ; Rockslide Ambush ; Sorcery ; 1R ; Uncommon ; Inoue Junichi ;  Portal Three Kingdoms
122 ; Rolling Earthquake ; Sorcery ; XR ; Rare ; Yang Hong ;  Portal Three Kingdoms
123 ; Stone Rain ; Sorcery ; 2R ; Common ; Mitsuaki Sagiri ;  Portal Three Kingdoms
124 ; Warrior's Oath ; Sorcery ; RR ; Rare ; Mitsuaki Sagiri ;  Portal Three Kingdoms
125 ; Yellow Scarves Cavalry ; Creature - Soldiers 1/1 ; 1R ; Common ; Chen Weidong ;  Portal Three Kingdoms
126 ; Yellow Scarves General ; Creature - Soldier 2/2 ; 3R ; Rare ; Chen Weidong ;  Portal Three Kingdoms
127 ; Yellow Scarves Troops ; Creature - Soldiers 2/2 ; 1R ; Common ; Chen Weidong ;  Portal Three Kingdoms
128 ; Yuan Shao, the Indecisive ; Creature - Legend 2/3 ; 4R ; Rare ; Inoue Junichi ;  Portal Three Kingdoms
129 ; Yuan Shao's Infantry ; Creature - Soldiers 2/2 ; 3R ; Uncommon ; Lin Yan ;  Portal Three Kingdoms
130 ; Zodiac Dog ; Creature - Dog 2/2 ; 2R ; Common ; Qi Baocheng ;  Portal Three Kingdoms
131 ; Zodiac Dragon ; Creature - Dragon 8/8 ; 7RR ; Rare ; Qi Baocheng ;  Portal Three Kingdoms
132 ; Zodiac Goat ; Creature - Goat 1/1 ; R ; Common ; Qi Baocheng ;  Portal Three Kingdoms
133 ; Borrowing the East Wind ; Sorcery ; XGG ; Rare ; Gao Yan ;  Portal Three Kingdoms
134 ; False Mourning ; Sorcery ; G ; Uncommon ; Koji ;  Portal Three Kingdoms
135 ; Forest Bear ; Creature - Bear 2/2 ; 1G ; Common ; Wang Yuqun ;  Portal Three Kingdoms
136 ; Heavy Fog ; Sorcery ; 1G ; Uncommon ; Liu Shangying ;  Portal Three Kingdoms
137 ; Hua Tuo, Honored Physician ; Creature - Legend 1/2 ; 1GG ; Rare ; Gao Jianzhang ;  Portal Three Kingdoms
138 ; Hunting Cheetah ; Creature - Cheetah 2/3 ; 2G ; Uncommon ; Fang Yue ;  Portal Three Kingdoms
139 ; Lady Zhurong, Warrior Queen ; Creature - Legend 4/3 ; 4G ; Rare ; Miao Aili ;  Portal Three Kingdoms
140 ; Lone Wolf ; Creature - Wolf 2/2 ; 2G ; Uncommon ; Yang Jun Kwon ;  Portal Three Kingdoms
141 ; Marshaling the Troops ; Sorcery ; 1G ; Rare ; Liu Shangying ;  Portal Three Kingdoms
142 ; Meng Huo, Barbarian King ; Creature - Legend 4/4 ; 3GG ; Rare ; Yang Guangmai ;  Portal Three Kingdoms
143 ; Meng Huo's Horde ; Creature - Soldiers 4/5 ; 4G ; Common ; Li Tie ;  Portal Three Kingdoms
144 ; Riding the Dilu Horse ; Sorcery ; 2G ; Rare ; Hong Yan ;  Portal Three Kingdoms
145 ; Slashing Tiger ; Creature - Tiger 3/3 ; 2GG ; Rare ; Yang Jun Kwon ;  Portal Three Kingdoms
146 ; Southern Elephant ; Creature - Elephant 3/4 ; 3G ; Common ; Wang Yuqun ;  Portal Three Kingdoms
147 ; Spoils of Victory ; Sorcery ; 2G ; Uncommon ; Sun Nan ;  Portal Three Kingdoms
148 ; Spring of Eternal Peace ; Sorcery ; 3GG ; Common ; Wang Yuqun ;  Portal Three Kingdoms
149 ; Stalking Tiger ; Creature - Tiger 3/3 ; 3G ; Common ; Kang Yu ;  Portal Three Kingdoms
150 ; Taoist Hermit ; Creature - Mystic 2/2 ; 2G ; Uncommon ; Wang Yuqun ;  Portal Three Kingdoms
151 ; Taoist Mystic ; Creature - Mystic 2/2 ; 2G ; Rare ; Qu Xin ;  Portal Three Kingdoms
152 ; Taunting Challenge ; Sorcery ; 1GG ; Rare ; Gao Yan ;  Portal Three Kingdoms
153 ; Three Visits ; Sorcery ; 1G ; Common ; Qu Xin ;  Portal Three Kingdoms
154 ; Trained Cheetah ; Creature - Cheetah 2/2 ; 2G ; Uncommon ; Fang Yue ;  Portal Three Kingdoms
155 ; Trained Jackal ; Creature - Jackal 1/2 ; G ; Common ; Yang Jun Kwon ;  Portal Three Kingdoms
156 ; Trip Wire ; Sorcery ; 2G ; Uncommon ; Hong Yan ;  Portal Three Kingdoms
157 ; Wielding the Green Dragon ; Sorcery ; 1G ; Common ; Quan Xuejun ;  Portal Three Kingdoms
158 ; Wolf Pack ; Creature - Wolves 7/6 ; 6GG ; Rare ; Yang Jun Kwon ;  Portal Three Kingdoms
159 ; Zodiac Horse ; Creature - Horse 3/3 ; 3G ; Uncommon ; Ai Desheng ;  Portal Three Kingdoms
160 ; Zodiac Monkey ; Creature - Monkey 2/1 ; 1G ; Common ; Ai Desheng ;  Portal Three Kingdoms
161 ; Zodiac Ox ; Creature - Ox 3/3 ; 3G ; Uncommon ; Ai Desheng ;  Portal Three Kingdoms
162 ; Zodiac Rabbit ; Creature - Rabbit 1/1 ; G ; Common ; Ai Desheng ;  Portal Three Kingdoms
163 ; Zodiac Rooster ; Creature - Rooster 2/1 ; 1G ; Common ; Ai Desheng ;  Portal Three Kingdoms
164 ; Zodiac Tiger ; Creature - Tiger 3/4 ; 2GG ; Uncommon ; Ai Desheng ;  Portal Three Kingdoms
165 ; Zuo Ci, the Mocking Sage ; Creature - Legend 1/2 ; 1GG ; Rare ; Wang Yuqun ;  Portal Three Kingdoms
166 ; Plains ; Land ; ; Land ; He Jiancheng ;  Portal Three Kingdoms
167 ; Plains ; Land ; ; Land ; He Jiancheng ;  Portal Three Kingdoms
168 ; Plains ; Land ; ; Land ; He Jiancheng ;  Portal Three Kingdoms
169 ; Island ; Land ; ; Land ; Ku Xueming ;  Portal Three Kingdoms
170 ; Island ; Land ; ; Land ; Ku Xueming ;  Portal Three Kingdoms
171 ; Island ; Land ; ; Land ; Ku Xueming ;  Portal Three Kingdoms
172 ; Swamp ; Land ; ; Land ; Wang Chuxiong ;  Portal Three Kingdoms
173 ; Swamp ; Land ; ; Land ; Wang Chuxiong ;  Portal Three Kingdoms
174 ; Swamp ; Land ; ; Land ; Wang Chuxiong ;  Portal Three Kingdoms
175 ; Mountain ; Land ; ; Land ; Qin Jun ;  Portal Three Kingdoms
176 ; Mountain ; Land ; ; Land ; Qin Jun ;  Portal Three Kingdoms
177 ; Mountain ; Land ; ; Land ; Qin Jun ;  Portal Three Kingdoms
178 ; Forest ; Land ; ; Land ; Ji Yong ;  Portal Three Kingdoms
179 ; Forest ; Land ; ; Land ; Ji Yong ;  Portal Three Kingdoms
180 ; Forest ; Land ; ; Land ; Ji Yong ;  Portal Three Kingdoms
1 ; Abyssal Nightstalker ; Creature - Nightstalker 2/2 ; 3B ; Uncommon ; Sam Woods ;  Portal Second Age
2 ; Ancient Craving ; Sorcery ; 3B ; Rare ; Rob Alexander ;  Portal Second Age
3 ; Bloodcurdling Scream ; Sorcery ; XB ; Uncommon ; Dan Frazier ;  Portal Second Age
4 ; Brutal Nightstalker ; Creature - Nightstalker 3/2 ; 3BB ; Uncommon ; Brom ;  Portal Second Age
5 ; Chorus of Woe ; Sorcery ; B ; Common ; Randy Gallegos ;  Portal Second Age
6 ; Coercion ; Sorcery ; 2B ; Uncommon ; Jeffrey R. Busch ;  Portal Second Age
7 ; Cruel Edict ; Sorcery ; 1B ; Common ; Jeffrey R. Busch ;  Portal Second Age
8 ; Dakmor Bat ; Creature - Bat 1/1 ; 1B ; Common ; Una Fricker ;  Portal Second Age
9 ; Dakmor Plague ; Sorcery ; 3BB ; Uncommon ; Jeff Miracola ;  Portal Second Age
10 ; Dakmor Scorpion ; Creature - Scorpion 2/1 ; 1B ; Common ; Randy Gallegos ;  Portal Second Age
11 ; Dakmor Sorceress ; Creature - Wizard */4 ; 5B ; Rare ; Matthew Wilson ;  Portal Second Age
12 ; Dark Offering ; Sorcery ; 4BB ; Uncommon ; Edward P. Beard, Jr. ;  Portal Second Age
13 ; Foul Spirit ; Creature - Spirit 3/2 ; 2B ; Uncommon ; rk post ;  Portal Second Age
14 ; Hand of Death ; Sorcery ; 2B ; Common ; Heather Hudson ;  Portal Second Age
15 ; Hidden Horror ; Creature - Horror 4/4 ; 1BB ; Rare ; Brom ;  Portal Second Age
16 ; Kiss of Death ; Sorcery ; 4BB ; Uncommon ; Melissa A. Benson ;  Portal Second Age
17 ; Lurking Nightstalker ; Creature - Nightstalker 1/1 ; BB ; Common ; Kev Walker ;  Portal Second Age
18 ; Mind Rot ; Sorcery ; 2B ; Common ; Douglas Shuler ;  Portal Second Age
19 ; Moaning Spirit ; Creature - Spirit 2/1 ; 2B ; Common ; Rebecca Guay ;  Portal Second Age
20 ; Muck Rats ; Creature - Rats 1/1 ; B ; Common ; Una Fricker ;  Portal Second Age
21 ; Nightstalker Engine ; Creature - Nightstalker */3 ; 4B ; Rare ; Mark Tedin ;  Portal Second Age
22 ; Predatory Nightstalker ; Creature - Nightstalker 3/2 ; 3BB ; Uncommon ; D. Alexander Gregory ;  Portal Second Age
23 ; Prowling Nightstalker ; Creature - Nightstalker 2/2 ; 3B ; Common ; Keith Parkinson ;  Portal Second Age
24 ; Raiding Nightstalker ; Creature - Nightstalker 2/2 ; 2B ; Common ; Pete Venters ;  Portal Second Age
25 ; Rain of Daggers ; Sorcery ; 4BB ; Rare ; Melissa A. Benson ;  Portal Second Age
26 ; Raise Dead ; Sorcery ; B ; Common ; Anson Maddocks ;  Portal Second Age
27 ; Ravenous Rats ; Creature - Rats 1/1 ; 1B ; Common ; Edward P. Beard, Jr. ;  Portal Second Age
28 ; Return of the Nightstalkers ; Sorcery ; 5BB ; Rare ; Randy Gallegos ;  Portal Second Age
29 ; Swarm of Rats ; Creature - Rats */1 ; 1B ; Common ; Kev Walker ;  Portal Second Age
30 ; Vampiric Spirit ; Creature - Spirit 4/3 ; 2BB ; Rare ; Anson Maddocks ;  Portal Second Age
31 ; Air Elemental ; Creature - Elemental 4/4 ; 3UU ; Uncommon ; Doug Chaffee ;  Portal Second Age
32 ; Apprentice Sorcerer ; Creature - Wizard 1/1 ; 2U ; Uncommon ; Christopher Rush ;  Portal Second Age
33 ; Armored Galleon ; Creature - Ship 5/4 ; 4U ; Uncommon ; Doug Chaffee ;  Portal Second Age
34 ; Coastal Wizard ; Creature - Wizard 1/1 ; 2UU ; Rare ; Edward P. Beard, Jr. ;  Portal Second Age
35 ; DÈja Vu ; Sorcery ; 2U ; Common ; David Horne ;  Portal Second Age
36 ; Denizen of the Deep ; Creature - Serpent 11/11 ; 6UU ; Rare ; Anson Maddocks ;  Portal Second Age
37 ; Exhaustion ; Sorcery ; 2U ; Rare ; Kaja Foglio ;  Portal Second Age
38 ; Extinguish ; Sorcery ; 1U ; Common ; Douglas Shuler ;  Portal Second Age
39 ; Eye Spy ; Sorcery ; U ; Uncommon ; DiTerlizzi ;  Portal Second Age
40 ; False Summoning ; Sorcery ; 1U ; Common ; DiTerlizzi ;  Portal Second Age
41 ; Mystic Denial ; Sorcery ; 1UU ; Uncommon ; DiTerlizzi ;  Portal Second Age
42 ; Piracy ; Sorcery ; UU ; Rare ; Brad Williams ;  Portal Second Age
43 ; Remove ; Sorcery ; U ; Uncommon ; DiTerlizzi ;  Portal Second Age
44 ; Screeching Drake ; Creature - Drake 2/2 ; 3U ; Common ; Anson Maddocks ;  Portal Second Age
45 ; Sea Drake ; Creature - Drake 4/3 ; 2U ; Uncommon ; Rebecca Guay ;  Portal Second Age
46 ; Sleight of Hand ; Sorcery ; U ; Common ; Phil Foglio ;  Portal Second Age
47 ; Steam Frigate ; Creature - Ship 3/3 ; 2U ; Common ; Mark Tedin ;  Portal Second Age
48 ; Talas Air Ship ; Creature - Ship 3/2 ; 3U ; Common ; Mark Tedin ;  Portal Second Age
49 ; Talas Explorer ; Creature - Merchant 1/1 ; 1U ; Common ; Douglas Shuler ;  Portal Second Age
50 ; Talas Merchant ; Creature - Merchant 1/3 ; 1U ; Common ; Lubov ;  Portal Second Age
51 ; Talas Researcher ; Creature - Wizard 1/1 ; 4U ; Rare ; Kaja Foglio ;  Portal Second Age
52 ; Talas Scout ; Creature - Pirate 1/2 ; 1U ; Common ; Heather Hudson ;  Portal Second Age
53 ; Talas Warrior ; Creature - Pirate 2/2 ; 1UU ; Rare ; Douglas Shuler ;  Portal Second Age
54 ; Temporal Manipulation ; Sorcery ; 3UU ; Rare ; Anson Maddocks ;  Portal Second Age
55 ; Theft of Dreams ; Sorcery ; 2U ; Uncommon ; Randy Gallegos ;  Portal Second Age
56 ; Tidal Surge ; Sorcery ; 1U ; Common ; Phil Foglio ;  Portal Second Age
57 ; Time Ebb ; Sorcery ; 2U ; Common ; Sam Woods ;  Portal Second Age
58 ; Touch of Brilliance ; Sorcery ; 3U ; Common ; Kaja Foglio ;  Portal Second Age
59 ; Undo ; Sorcery ; 1UU ; Uncommon ; Henry Van Der Linde ;  Portal Second Age
60 ; Wind Sail ; Sorcery ; 1U ; Common ; Matt Stawicki ;  Portal Second Age
61 ; Alluring Scent ; Sorcery ; 1GG ; Rare ; Melissa A. Benson ;  Portal Second Age
62 ; Barbtooth Wurm ; Creature - Wurm 6/4 ; 5G ; Common ; Rebecca Guay ;  Portal Second Age
63 ; Bear Cub ; Creature - Bear 2/2 ; 1G ; Common ; Ron Spencer ;  Portal Second Age
64 ; Bee Sting ; Sorcery ; 3G ; Uncommon ; Cris Dornaus ;  Portal Second Age
65 ; Deathcoil Wurm ; Creature - Wurm 7/6 ; 6GG ; Rare ; Rebecca Guay ;  Portal Second Age
66 ; Deep Wood ; Sorcery ; 1G ; Uncommon ; Jeff Miracola ;  Portal Second Age
67 ; Golden Bear ; Creature - Bear 4/3 ; 3G ; Common ; Una Fricker ;  Portal Second Age
68 ; Harmony of Nature ; Sorcery ; 2G ; Uncommon ; Kaja Foglio ;  Portal Second Age
69 ; Hurricane ; Sorcery ; XG ; Rare ; Rob Alexander ;  Portal Second Age
70 ; Ironhoof Ox ; Creature - Ox 4/4 ; 3GG ; Uncommon ; Una Fricker ;  Portal Second Age
71 ; Lone Wolf ; Creature - Wolf 2/2 ; 2G ; Uncommon ; Michael Weaver ;  Portal Second Age
72 ; Lynx ; Creature - Cat 2/1 ; 1G ; Common ; Rebecca Guay ;  Portal Second Age
73 ; Monstrous Growth ; Sorcery ; 1G ; Common ; Una Fricker ;  Portal Second Age
74 ; Natural Spring ; Sorcery ; 3GG ; Common ; Jeffrey R. Busch ;  Portal Second Age
75 ; Nature's Lore ; Sorcery ; 1G ; Common ; Lubov ;  Portal Second Age
76 ; Norwood Archers ; Creature - Elves 3/3 ; 3G ; Common ; Rebecca Guay ;  Portal Second Age
77 ; Norwood Priestess ; Creature - Elf 1/1 ; 2GG ; Rare ; Melissa A. Benson ;  Portal Second Age
78 ; Norwood Ranger ; Creature - Elf 1/2 ; G ; Common ; Ron Spencer ;  Portal Second Age
79 ; Norwood Riders ; Creature - Elves 3/3 ; 3G ; Common ; Rebecca Guay ;  Portal Second Age
80 ; Norwood Warrior ; Creature - Elf 2/2 ; 2G ; Common ; Rebecca Guay ;  Portal Second Age
81 ; Plated Wurm ; Creature - Wurm 4/5 ; 4G ; Common ; Daniel Gelon ;  Portal Second Age
82 ; Razorclaw Bear ; Creature - Bear 3/3 ; 2GG ; Rare ; Heather Hudson ;  Portal Second Age
83 ; Renewing Touch ; Sorcery ; G ; Uncommon ; Rebecca Guay ;  Portal Second Age
84 ; River Bear ; Creature - Bear 3/3 ; 3G ; Uncommon ; Una Fricker ;  Portal Second Age
85 ; Salvage ; Sorcery ; G ; Common ; Keith Parkinson ;  Portal Second Age
86 ; Sylvan Basilisk ; Creature - Basilisk 2/4 ; 3GG ; Rare ; Ron Spencer ;  Portal Second Age
87 ; Sylvan Yeti ; Creature - Beast */4 ; 2GG ; Rare ; Brom ;  Portal Second Age
88 ; Tree Monkey ; Creature - Monkey 1/1 ; G ; Common ; Una Fricker ;  Portal Second Age
89 ; Untamed Wilds ; Sorcery ; 2G ; Uncommon ; Jeffrey R. Busch ;  Portal Second Age
90 ; Wild Ox ; Creature - Ox 3/3 ; 3G ; Uncommon ; Jeffrey R. Busch ;  Portal Second Age
91 ; Blaze ; Sorcery ; XR ; Uncommon ; David A. Cherry ;  Portal Second Age
92 ; Brimstone Dragon ; Creature - Dragon 6/6 ; 6RR ; Rare ; David A. Cherry ;  Portal Second Age
93 ; Cunning Giant ; Creature - Giant 4/4 ; 5R ; Rare ; Jeffrey R. Busch ;  Portal Second Age
94 ; Earthquake ; Sorcery ; XR ; Rare ; Jeffrey R. Busch ;  Portal Second Age
95 ; Goblin Cavaliers ; Creature - Goblins 3/2 ; 2R ; Common ; DiTerlizzi ;  Portal Second Age
96 ; Goblin Firestarter ; Creature - Goblin 1/1 ; R ; Uncommon ; Keith Parkinson ;  Portal Second Age
97 ; Goblin General ; Creature - Goblin 1/1 ; 1RR ; Rare ; Keith Parkinson ;  Portal Second Age
98 ; Goblin Glider ; Creature - Goblin 1/1 ; 1R ; Common ; Pete Venters ;  Portal Second Age
99 ; Goblin Lore ; Sorcery ; 1R ; Uncommon ; D. Alexander Gregory ;  Portal Second Age
100 ; Goblin Matron ; Creature - Goblin 1/1 ; 2R ; Uncommon ; Daniel Gelon ;  Portal Second Age
101 ; Goblin Mountaineer ; Creature - Goblin 1/1 ; R ; Common ; DiTerlizzi ;  Portal Second Age
102 ; Goblin Piker ; Creature - Goblin 2/1 ; 1R ; Common ; DiTerlizzi ;  Portal Second Age
103 ; Goblin Raider ; Creature - Goblin 2/2 ; 1R ; Common ; Matt Stawicki ;  Portal Second Age
104 ; Goblin War Cry ; Sorcery ; 2R ; Uncommon ; Michael Weaver ;  Portal Second Age
105 ; Goblin War Strike ; Sorcery ; R ; Common ; Michael Weaver ;  Portal Second Age
106 ; Jagged Lightning ; Sorcery ; 3RR ; Uncommon ; Michael Weaver ;  Portal Second Age
107 ; Lava Axe ; Sorcery ; 4R ; Common ; Edward P. Beard, Jr. ;  Portal Second Age
108 ; Magma Giant ; Creature - Giant 5/5 ; 5RR ; Rare ; Michael Weaver ;  Portal Second Age
109 ; Obsidian Giant ; Creature - Giant 4/4 ; 4R ; Uncommon ; David A. Cherry ;  Portal Second Age
110 ; Ogre Arsonist ; Creature - Ogre 3/3 ; 4R ; Uncommon ; Jeffrey R. Busch ;  Portal Second Age
111 ; Ogre Berserker ; Creature - Ogre 4/2 ; 4R ; Common ; David A. Cherry ;  Portal Second Age
112 ; Ogre Taskmaster ; Creature - Ogre 4/3 ; 3R ; Uncommon ; Dan Frazier ;  Portal Second Age
113 ; Ogre Warrior ; Creature - Ogre 3/3 ; 3R ; Common ; Jeff Miracola ;  Portal Second Age
114 ; Raging Goblin ; Creature - Goblin 1/1 ; R ; Common ; Jeff Miracola ;  Portal Second Age
115 ; Relentless Assault ; Sorcery ; 2RR ; Rare ; Tom W‰nerstrand ;  Portal Second Age
116 ; Spitting Earth ; Sorcery ; 1R ; Common ; David Horne ;  Portal Second Age
117 ; Stone Rain ; Sorcery ; 2R ; Common ; Doug Chaffee ;  Portal Second Age
118 ; Tremor ; Sorcery ; R ; Common ; Pete Venters ;  Portal Second Age
119 ; Volcanic Hammer ; Sorcery ; 1R ; Common ; Edward P. Beard, Jr. ;  Portal Second Age
120 ; Wildfire ; Sorcery ; 4RR ; Rare ; Rob Alexander ;  Portal Second Age
121 ; Alaborn Cavalier ; Creature - Knight 2/2 ; 2WW ; Uncommon ; Kev Walker ;  Portal Second Age
122 ; Alaborn Grenadier ; Creature - Soldier 2/2 ; WW ; Common ; David A. Cherry ;  Portal Second Age
123 ; Alaborn Musketeer ; Creature - Soldier 2/1 ; 1W ; Common ; Heather Hudson ;  Portal Second Age
124 ; Alaborn Trooper ; Creature - Soldier 2/3 ; 2W ; Common ; Lubov ;  Portal Second Age
125 ; Alaborn Veteran ; Creature - Knight 2/2 ; 2W ; Rare ; Henry Van Der Linde ;  Portal Second Age
126 ; Alaborn Zealot ; Creature - Soldier 1/1 ; W ; Uncommon ; David Horne ;  Portal Second Age
127 ; Angel of Fury ; Creature - Angel 3/5 ; 4WW ; Rare ; Keith Parkinson ;  Portal Second Age
128 ; Angel of Mercy ; Creature - Angel 3/3 ; 4W ; Uncommon ; Melissa A. Benson ;  Portal Second Age
129 ; Angelic Blessing ; Sorcery ; 2W ; Common ; Henry Van Der Linde ;  Portal Second Age
130 ; Angelic Wall ; Creature - Wall 0/4 ; 1W ; Common ; Rebecca Guay ;  Portal Second Age
131 ; Archangel ; Creature - Angel 5/5 ; 5WW ; Rare ; rk post ;  Portal Second Age
132 ; Armageddon ; Sorcery ; 3W ; Rare ; Rob Alexander ;  Portal Second Age
133 ; Armored Griffin ; Creature - Griffin 2/3 ; 3W ; Uncommon ; Brad Williams ;  Portal Second Age
134 ; Bargain ; Sorcery ; 2W ; Uncommon ; Phil Foglio ;  Portal Second Age
135 ; Breath of Life ; Sorcery ; 3W ; Common ; Lubov ;  Portal Second Age
136 ; Festival of Trokin ; Sorcery ; W ; Common ; Jeffrey R. Busch ;  Portal Second Age
137 ; Just Fate ; Sorcery ; 2W ; Rare ; Brad Williams ;  Portal Second Age
138 ; Path of Peace ; Sorcery ; 3W ; Common ; David A. Cherry ;  Portal Second Age
139 ; Rally the Troops ; Sorcery ; W ; Uncommon ; Mark Poole ;  Portal Second Age
140 ; Righteous Charge ; Sorcery ; 1WW ; Common ; Jeffrey R. Busch ;  Portal Second Age
141 ; Righteous Fury ; Sorcery ; 4WW ; Rare ; Edward P. Beard, Jr. ;  Portal Second Age
142 ; Steam Catapult ; Creature - Soldiers 2/3 ; 3WW ; Rare ; Mark Tedin ;  Portal Second Age
143 ; Temple Acolyte ; Creature - Cleric 1/3 ; 1W ; Common ; Lubov ;  Portal Second Age
144 ; Temple Elder ; Creature - Cleric 1/2 ; 2W ; Uncommon ; David Horne ;  Portal Second Age
145 ; Town Sentry ; Creature - Soldier 2/2 ; 2W ; Common ; Brad Williams ;  Portal Second Age
